rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,Num Cands,Num Seats
48,18,16,7,11,48,10,48,48,2,48,12,48,48,48,48,48,48,15,48,48,48,13,48,48,48,48,48,9,48,48,48,1,48,8,48,4,48,48,3,48,6,48,14,48,48,17,5,,
48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,,
47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,40,47,47,47,47,47,47,47,47,47,47,47,47,48,47,47,1,47,47,47,47,47,47,47,47,47,47,47,,
39,46,39,39,39,39,39,39,39,5,39,39,39,39,39,39,39,20,39,43,39,39,1,39,39,40,16,44,39,39,39,48,2,45,39,39,4,39,39,3,41,39,39,42,39,39,47,39,,
8,7,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,10,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,3,48,4,48,5,9,48,48,48,48,48,48,6,48,,
40,42,23,12,24,5,33,27,41,1,15,4,16,9,36,39,28,21,6,26,35,31,20,45,25,11,30,34,8,37,48,14,3,29,38,22,2,17,47,7,18,13,32,19,43,46,44,10,,
48,7,2,9,48,3,12,48,48,6,48,10,48,14,48,48,48,48,48,15,48,48,17,48,48,7,48,48,11,48,48,13,1,48,48,48,5,48,48,16,48,8,48,48,48,48,4,15,,
48,48,48,7,48,1,6,48,48,3,48,48,13,12,48,48,48,48,4,48,48,48,48,9,48,48,48,48,8,48,48,11,14,48,48,48,2,48,48,48,48,48,48,48,48,48,5,10,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,,
22,47,Skipped,11,47,8,47,Skipped,24,3,15,27,5,20,47,21,47,47,2,25,14,17,13,Skipped,23,47,47,47,4,47,16,47,9,47,47,47,1,26,Skipped,7,47,10,47,12,47,6,19,18,,
48,48,19,14,48,4,48,23,48,2,24,11,48,48,48,22,48,48,16,9,17,48,20,48,48,13,48,48,3,48,48,5,6,18,48,48,8,15,48,1,48,10,21,48,48,48,12,7,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,23,22,8,48,5,48,48,11,2,48,6,3,13,11,17,12,19,11,20,14,48,16,18,21,15,48,48,2,48,48,15,7,48,48,48,1,10,48,4,48,9,17,48,48,24,48,19,,
48,10,5,12,48,11,48,48,48,2,48,48,48,48,48,47,48,48,48,48,14,48,10,48,48,17,48,48,9,48,48,13,3,48,48,48,4,48,48,1,48,7,48,48,48,48,48,8,,
45,47,11,44,44,8,44,44,44,6,45,5,44,44,45,45,45,44,44,Skipped,44,44,1,43,44,44,1,46,28,45,45,45,4,48,45,45,1,44,Skipped,4,44,44,45,2,45,45,35,44,,
48,48,9,21,48,4,48,48,25,1,48,48,26,15,48,12,20,10,17,48,48,48,48,48,31,22,29,29,5,48,16,48,3,10,48,48,3,20,17,1,48,21,20,10,48,12,11,48,,
40,38,40,40,39,2,40,40,43,40,40,40,40,40,40,38,41,40,40,37,40,40,40,44,42,40,21,40,40,40,40,45,40,46,40,40,1,40,48,3,47,40,40,36,40,40,27,40,,
48,48,3,48,48,2,48,48,48,48,48,5,48,48,48,48,48,48,7,48,48,48,48,48,48,48,48,48,48,48,48,48,6,48,48,48,1,48,48,3,48,48,48,48,48,48,48,48,,
9,16,8,4,6,6,14,12,Skipped,1,18,11,13,4,17,9,4,8,5,13,12,Skipped,8,10,13,10,12,11,3,7,9,10,10,12,14,15,3,Skipped,10,2,6,11,9,6,17,13,11,10,,
28,23,4,21,19,7,48,43,46,2,29,9,8,22,27,39,34,14,12,17,16,47,33,30,35,11,31,40,5,44,37,15,1,41,18,24,3,32,26,13,36,6,42,25,45,38,20,10,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
22,45,11,18,37,6,47,27,42,1,43,29,13,17,38,8,25,4,7,30,31,19,33,44,35,15,16,24,5,48,9,12,14,10,46,40,2,39,23,3,28,34,36,32,20,26,41,21,,
11,47,23,30,25,10,45,27,36,2,48,7,20,31,35,9,48,8,6,5,8,42,39,29,43,7,27,33,3,46,29,8,4,24,46,32,2,29,29,2,35,15,36,27,48,33,26,7,,
48,38,35,41,35,35,35,Skipped,43,6,48,33,21,35,48,48,47,35,45,30,Skipped,35,5,40,44,36,4,35,3,48,48,39,1,48,37,48,35,35,Skipped,2,42,34,46,32,48,48,35,35,,
48,48,48,48,48,48,48,48,48,48,48,48,33,44,48,48,48,48,48,48,48,48,48,48,48,36,30,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,41,48,,
48,16,24,9,16,5,24,24,48,1,48,9,24,20,48,20,4,16,9,9,9,33,16,48,33,9,33,33,4,48,24,16,5,32,30,20,2,48,32,3,48,5,24,20,31,48,20,9,,
48,11,5,24,48,6,48,48,48,1,48,19,7,13,48,48,48,18,10,16,22,48,8,48,48,9,21,23,20,48,48,17,4,14,48,48,2,48,48,3,48,12,48,48,48,48,48,15,,
48,48,9,48,48,5,48,48,48,4,48,48,48,48,48,48,48,48,2,48,48,48,10,48,48,48,48,48,8,48,48,48,6,7,48,48,1,48,48,2,48,20,48,48,48,48,48,48,,
48,48,48,10,48,3,48,48,48,1,48,48,4,48,48,7,48,48,5,48,48,48,8,48,6,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,48,48,48,48,48,48,9,48,,
48,48,4,48,10,7,48,48,48,3,48,48,14,48,48,48,48,13,48,48,48,48,15,48,48,5,48,16,2,48,48,1,8,9,18,48,12,48,48,6,48,48,48,48,48,48,48,11,,
Skipped,48,47,8,48,5,48,Skipped,Skipped,1,Skipped,3,2,7,Skipped,5,Skipped,2,5,2,48,Skipped,48,Skipped,6,1,3,1,1,Skipped,6,2,2,1,48,5,48,Skipped,48,3,4,48,Skipped,Skipped,9,Skipped,Skipped,48,,
48,48,48,48,48,2,48,48,48,2,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,48,48,48,48,48,,
32,26,1,21,25,8,28,33,44,2,36,10,38,9,39,18,23,20,45,22,24,46,34,31,42,13,19,43,4,35,17,16,7,48,27,37,2,47,14,5,41,11,30,29,6,40,12,15,,
32,12,13,9,37,5,23,29,34,2,38,25,17,15,28,31,33,7,21,8,36,45,16,44,40,42,24,26,6,43,41,20,4,18,19,39,1,22,34,3,46,10,27,30,47,48,14,11,,
14,17,48,16,13,48,48,48,48,12,48,48,48,1,48,48,48,48,48,48,48,48,6,15,48,11,48,48,7,48,48,8,4,48,48,48,2,3,18,15,48,16,5,48,10,48,48,9,,
46,28,12,8,27,10,37,29,44,1,42,17,30,7,45,40,6,5,18,13,26,23,21,36,43,4,27,34,15,38,24,9,9,12,14,41,1,25,39,3,32,10,31,35,33,20,22,16,,
48,2,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,4,48,48,48,48,48,48,,
48,6,47,48,48,8,11,48,48,8,48,10,43,48,48,48,48,48,45,48,48,48,7,20,48,48,48,48,48,48,12,48,8,48,17,48,5,42,48,16,14,10,33,48,48,48,33,8,,
26,36,21,23,34,4,23,23,45,1,43,17,20,23,38,27,33,22,30,16,26,31,14,26,23,35,13,47,25,42,41,39,5,48,19,40,3,32,24,2,29,18,44,15,46,26,37,28,,
48,48,2,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,4,48,48,3,7,48,48,48,5,48,48,6,48,48,48,48,48,48,48,48,,
