rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,Num Cands,Num Seats
49,Skipped,50,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,34,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,48,Skipped,Skipped,Skipped,16,2,Skipped,Skipped,5,41,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,Skipped,30,20,Skipped,Skipped,Skipped,14,Skipped,8,Skipped,Skipped,15,12,Skipped,10,Skipped,1,Skipped,7,Skipped,Skipped,Skipped,21,Skipped,Skipped,Skipped,Skipped,Skipped,6,13,16,Skipped,Skipped,3,11,Skipped,9,2,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,,
18,Skipped,Skipped,Skipped,Skipped,17,15,Skipped,16,Skipped,Skipped,Skipped,20,9,2,Skipped,Skipped,8,4,Skipped,Skipped,Skipped,14,Skipped,Skipped,13,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,4,19,12,1,21,22,Skipped,Skipped,Skipped,3,Skipped,7,Skipped,7,Skipped,,
50,50,27,50,1,49,5,50,50,50,50,50,35,16,3,50,50,50,28,13,50,50,50,50,50,6,4,2,50,17,50,50,50,50,50,13,43,50,50,19,50,50,50,50,50,50,50,50,50,50,,
16,Skipped,13,Skipped,9,18,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,12,Skipped,11,Skipped,Skipped,5,Skipped,14,8,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,15,7,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,,
14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,16,Skipped,Skipped,Skipped,2,Skipped,9,Skipped,Skipped,5,Skipped,4,Skipped,15,Skipped,11,Skipped,Skipped,6,7,Skipped,13,3,Skipped,Skipped,Skipped,12,Skipped,1,Skipped,Skipped,Skipped,Skipped,10,,
50,50,50,50,50,50,50,50,4,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,5,50,50,50,3,50,50,50,50,6,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,,
Skipped,Skipped,13,2,12,11,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,8,Skipped,7,Skipped,5,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
50,8,50,50,50,50,50,50,50,50,50,50,49,50,11,50,50,1,7,50,6,50,50,50,50,50,50,35,50,14,50,50,50,50,50,10,50,30,3,50,50,50,5,50,4,45,9,50,2,50,,
12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,10,2,Skipped,Skipped,4,13,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,50,Skipped,5,Skipped,Skipped,Skipped,Skipped,15,1,Skipped,11,7,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,6,Skipped,8,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,20,10,Skipped,Skipped,Skipped,24,28,Skipped,Skipped,2,Skipped,Skipped,7,Skipped,Skipped,6,Skipped,8,Skipped,Skipped,3,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,40,Skipped,12,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,9,Skipped,4,30,,
19,22,29,15,23,17,14,Skipped,Skipped,16,Skipped,Skipped,Skipped,18,2,Skipped,26,1,13,Skipped,6,Skipped,8,Skipped,30,10,24,5,Skipped,9,Skipped,Skipped,20,Skipped,Skipped,7,Skipped,27,12,Skipped,Skipped,Skipped,28,25,4,Skipped,11,Skipped,3,21,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
7,11,Skipped,Skipped,20,21,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,19,8,Skipped,Skipped,6,Skipped,Skipped,2,Skipped,3,Skipped,16,9,10,1,Skipped,Skipped,22,12,Skipped,15,Skipped,23,Skipped,18,5,Skipped,Skipped,Skipped,Skipped,17,4,Skipped,Skipped,Skipped,Skipped,14,,
50,50,50,50,25,16,14,18,21,19,28,50,17,27,5,50,50,3,9,50,20,22,1,11,50,2,23,15,50,50,50,24,12,50,13,10,50,26,4,50,50,50,50,50,6,50,7,50,8,50,,
13,50,50,50,20,6,7,50,8,17,50,21,50,10,3,50,50,15,9,23,27,50,5,50,50,22,14,16,50,18,50,26,50,50,50,1,50,24,4,50,19,50,50,50,2,25,50,50,11,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,50,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,4,Skipped,Skipped,7,,
9,Skipped,10,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,7,2,Skipped,Skipped,2,Skipped,7,Skipped,Skipped,3,1,Skipped,3,3,4,Skipped,9,Skipped,8,Skipped,Skipped,5,6,9,6,1,12,7,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,,
12,Skipped,Skipped,16,14,Skipped,9,Skipped,7,17,24,Skipped,23,13,6,22,Skipped,4,8,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,3,Skipped,15,Skipped,Skipped,Skipped,Skipped,19,2,Skipped,18,1,21,25,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,11,Skipped,,
13,2,?,3,19,?,?,?,7,?,22,?,21,12,1,23,?,4,10,16,5,?,11,8,?,?,?,?,17,?,?,?,9,20,?,6,?,14,?,?,?,18,?,?,?,?,?,15,?,?,,
