rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,Num Cands,Num Seats
9,44,44,44,3,44,44,44,44,44,2,44,44,44,44,44,44,44,44,10,44,44,44,44,7,44,44,5,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,,
44,44,44,44,1,44,44,44,44,44,44,44,5,3,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,6,,
44,44,44,44,9,44,44,44,44,11,1,44,12,44,44,44,15,44,44,44,44,44,44,44,44,44,44,4,44,3,2,7,44,44,6,5,44,44,44,44,5,44,20,44,,
10,1,Skipped,16,2,6,23,22,Skipped,Skipped,4,Skipped,13,20,Skipped,Skipped,26,Skipped,Skipped,25,Skipped,15,Skipped,Skipped,27,Skipped,Skipped,8,Skipped,14,17,3,Skipped,5,12,24,11,28,21,Skipped,9,7,18,19,,
44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,,
44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,2,44,44,44,5,44,44,44,44,44,,
41,11,24,25,5,12,8,6,17,Skipped,2,Skipped,18,Skipped,Skipped,Skipped,3,Skipped,Skipped,44,29,21,27,Skipped,20,26,Skipped,4,23,14,43,15,40,19,16,7,13,28,10,42,1,22,9,Skipped,,
44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
31,2,30,28,7,20,10,11,13,35,1,44,21,23,27,26,8,38,44,14,22,4,37,33,44,25,33,2,30,9,18,6,29,16,33,22,19,32,15,36,5,24,12,17,,
13,44,44,44,1,44,44,44,44,18,11,44,10,3,6,4,17,44,44,44,44,44,44,44,14,44,44,2,44,9,7,44,44,44,44,15,44,44,16,44,12,44,8,5,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,5,44,44,44,44,44,1,44,4,6,44,3,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,7,,
14,4,9,20,2,15,20,13,35,44,16,42,18,18,19,20,6,44,44,44,33,17,37,41,30,20,16,18,17,1,12,5,10,17,21,3,25,37,16,14,12,38,7,20,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,,
44,44,44,44,44,44,44,44,44,1,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,,
11,44,44,16,3,44,44,44,44,44,2,44,14,6,13,8,18,44,44,44,44,15,44,44,44,44,44,7,20,19,4,1,44,44,12,44,44,44,17,44,10,44,9,5,,
4,4,Skipped,Skipped,44,Skipped,43,43,43,Skipped,1,Skipped,3,4,3,4,4,Skipped,43,43,1,43,Skipped,36,5,3,Skipped,44,29,1,Skipped,1,43,43,3,44,3,10,40,26,1,20,1,4,,
14,11,29,25,19,17,43,28,40,35,2,30,9,15,31,22,13,34,38,21,39,16,36,37,33,12,32,1,20,3,10,5,42,23,8,7,6,41,18,44,4,27,24,26,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,13,11,44,44,44,44,44,44,44,44,44,44,18,44,4,44,5,44,20,44,8,25,22,44,44,44,44,10,44,44,44,44,44,6,44,,
10,2,44,44,13,44,44,44,44,44,1,44,44,8,44,44,4,44,44,6,44,12,44,44,44,44,44,5,44,44,44,44,44,44,9,44,44,44,3,44,11,14,7,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
18,28,13,35,9,30,41,33,38,20,6,42,11,16,5,8,1,27,40,37,36,23,43,29,21,17,15,19,14,7,2,3,39,31,22,4,25,34,24,44,10,32,26,12,,
7,2,44,21,44,11,44,44,44,44,16,44,21,3,21,21,4,44,44,1,44,8,44,44,10,24,44,15,44,15,14,9,44,5,15,44,12,44,13,44,22,44,21,6,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
13,14,44,44,4,16,17,15,44,44,7,44,44,5,12,9,44,6,44,20,44,44,44,44,2,21,44,2,44,44,22,11,44,44,44,44,44,8,19,44,10,44,18,3,,
44,1,44,44,6,44,44,44,44,44,2,44,11,12,44,44,4,44,44,44,44,44,44,44,44,5,8,9,44,5,7,44,44,44,44,44,10,44,44,44,44,44,3,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,2,44,44,44,44,44,44,44,44,20,44,44,25,44,44,44,44,44,44,44,22,44,44,1,44,44,44,4,44,44,44,44,44,44,44,44,10,44,44,15,,
7,26,44,44,16,22,44,44,44,19,8,44,18,12,11,5,3,44,44,44,44,23,44,44,4,21,24,10,44,9,1,6,44,27,25,15,20,44,17,44,2,44,13,14,,
2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,3,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
21,1,31,26,23,33,13,35,18,16,2,44,17,22,34,11,3,37,44,44,36,25,44,30,4,19,29,6,12,8,14,5,38,20,24,28,9,39,32,44,7,44,10,15,,
44,44,44,44,9,44,44,44,44,44,44,44,44,43,44,7,1,44,44,44,44,44,44,44,8,44,44,44,10,6,5,11,44,44,44,44,44,42,44,44,4,44,2,3,,
44,44,44,44,3,44,44,44,44,44,4,44,44,10,44,44,11,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,7,8,44,44,44,44,1,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,1,44,44,44,44,44,44,3,,
44,3,18,44,17,44,44,44,44,20,2,44,10,11,44,12,1,44,44,44,44,44,44,44,44,44,19,9,44,4,5,7,44,44,16,8,44,44,15,44,6,44,14,13,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,2,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,4,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
32,38,7,30,31,15,36,33,24,19,37,13,18,22,14,44,4,16,29,40,20,43,2,26,6,5,27,17,21,42,23,35,34,1,3,28,9,12,10,8,39,25,11,41,,
16,2,44,14,3,28,44,25,22,44,5,26,13,30,17,19,29,44,44,44,21,20,44,44,44,12,10,4,44,18,9,8,23,44,7,15,27,44,24,44,1,44,6,11,,
44,1,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,,
10,2,17,Skipped,4,18,16,18,Skipped,Skipped,6,Skipped,16,14,18,14,9,Skipped,20,Skipped,20,16,19,Skipped,14,18,Skipped,1,11,8,11,3,Skipped,18,10,16,17,Skipped,17,Skipped,5,19,7,13,,
6,26,43,26,43,9,43,1,43,26,2,43,26,26,26,26,43,43,43,43,43,26,43,43,26,4,26,26,43,26,7,5,44,26,10,43,8,43,26,43,3,43,26,26,,
44,2,44,44,44,44,3,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,,
44,9,44,44,4,44,44,44,44,44,5,44,44,44,11,44,3,44,44,44,44,44,44,44,44,44,44,10,44,6,2,44,44,44,44,1,44,44,44,44,7,44,8,44,,
3,44,7,44,5,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,5,44,44,44,44,4,5,8,44,44,44,2,44,6,3,,
44,1,44,44,44,44,44,44,44,4,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,,
22,1,44,23,9,30,6,1,20,41,2,37,8,43,44,44,9,42,44,33,44,4,44,44,44,43,44,7,41,11,16,17,44,13,44,43,40,44,12,44,18,4,19,44,,
44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,1,44,44,44,44,44,44,44,1,44,44,1,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
43,7,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,44,Skipped,4,42,11,16,15,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,9,19,Skipped,1,18,2,Skipped,6,Skipped,12,8,14,Skipped,Skipped,10,Skipped,13,Skipped,3,5,,
11,4,13,44,2,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,9,44,8,44,5,44,14,7,44,10,44,15,44,3,44,12,44,,
44,3,12,44,44,44,13,44,8,44,10,44,44,9,44,44,2,44,44,44,44,44,44,44,44,44,44,7,15,4,44,6,44,44,14,1,44,44,44,44,5,44,11,44,,
44,18,10,44,9,44,44,44,44,44,4,44,44,5,9,13,1,44,44,44,44,44,44,44,2,44,44,7,44,17,13,44,44,44,16,28,44,44,25,44,44,44,44,4,,
44,10,44,44,3,44,44,44,44,44,1,44,44,44,9,14,44,15,44,44,44,44,44,44,5,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,8,,
44,44,44,44,44,44,44,44,44,44,44,44,44,2,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,,
44,44,44,44,1,44,44,44,44,44,44,44,44,4,44,6,44,44,44,44,44,44,44,44,3,44,44,5,44,44,44,44,44,44,44,44,44,44,7,44,44,44,44,2,,
14,22,Skipped,30,2,33,37,Skipped,Skipped,Skipped,6,Skipped,10,13,8,11,12,Skipped,Skipped,32,26,17,44,Skipped,4,Skipped,35,1,23,3,19,15,Skipped,25,16,20,21,24,18,Skipped,5,32,9,7,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,1,44,44,4,44,44,44,44,44,2,44,44,44,44,44,7,44,44,44,44,44,44,44,44,44,44,6,44,44,44,44,44,44,5,44,44,44,44,44,44,44,3,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
8,1,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,5,44,44,44,7,4,44,44,44,3,44,44,44,6,44,,
7,44,44,44,1,44,44,44,44,44,6,44,44,30,4,44,44,44,44,44,44,44,44,44,44,44,44,29,44,44,10,44,44,44,44,44,44,44,44,44,3,44,44,2,,
7,19,Skipped,29,2,30,37,Skipped,Skipped,37,5,Skipped,11,12,10,9,15,Skipped,Skipped,35,25,18,44,Skipped,6,Skipped,34,1,23,3,20,14,Skipped,22,16,17,21,24,26,Skipped,4,28,13,8,,
6,44,44,44,1,44,44,44,44,44,3,44,12,5,7,2,44,44,44,44,44,44,44,44,10,44,44,4,44,8,44,44,44,44,44,44,44,44,11,44,44,44,9,8,,
44,44,44,44,44,44,12,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,3,44,1,44,44,44,,
36,21,32,38,6,17,2,35,19,12,3,41,42,7,25,13,4,30,34,16,1,29,39,31,10,20,37,44,28,11,26,9,33,23,18,21,27,43,8,40,22,14,5,24,,
3,5,44,9,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,6,1,4,44,44,7,44,1,4,9,6,,
19,4,30,26,6,12,22,44,12,19,6,44,24,28,6,12,44,30,44,12,27,25,44,44,44,6,29,21,12,1,44,6,44,3,12,22,43,44,12,44,4,44,1,6,,
16,3,44,44,17,15,44,44,44,44,3,44,44,8,44,14,7,44,44,44,8,44,44,44,44,44,44,10,13,44,44,1,44,5,6,44,12,44,9,44,11,44,4,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,9,8,44,7,44,44,44,44,44,8,44,44,3,7,10,1,44,44,44,44,44,44,44,44,44,44,44,44,14,15,44,44,44,7,44,44,44,44,44,44,44,44,3,,
30,25,44,44,5,44,44,44,44,44,8,44,31,12,38,3,15,44,44,44,44,36,44,44,1,44,44,7,44,13,19,2,44,44,27,29,44,44,37,44,9,44,32,4,,
6,26,43,26,43,9,43,1,43,26,2,43,26,26,26,26,43,43,43,43,43,26,43,43,26,4,26,26,43,26,7,5,44,26,10,43,8,43,26,43,3,43,26,26,,
9,2,44,11,8,13,44,14,44,44,5,44,44,44,44,44,7,44,44,12,44,44,44,44,44,44,44,1,44,44,44,6,44,3,16,44,44,44,44,44,17,15,10,4,,
18,4,44,44,7,44,44,44,44,44,1,44,44,44,44,44,12,36,44,44,44,44,44,44,44,44,44,3,44,27,44,44,44,44,44,44,44,44,2,44,44,44,10,16,,
19,1,34,21,29,11,16,44,27,25,2,34,17,21,15,15,20,34,44,8,44,21,31,34,30,4,25,3,44,11,7,5,44,15,11,34,11,44,18,44,6,44,21,28,,
44,44,44,44,1,3,44,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,,
8,2,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,4,44,5,44,44,44,44,44,44,44,44,44,6,44,44,10,44,44,44,3,44,7,44,44,44,,
44,13,44,44,1,44,44,44,44,44,6,44,44,9,12,11,15,44,44,44,44,44,44,44,8,44,44,3,44,4,44,5,44,44,2,44,44,44,44,44,14,10,44,7,,
28,24,27,18,4,26,44,44,44,23,2,34,8,21,22,13,14,44,44,44,32,9,30,19,20,17,29,3,44,1,7,11,44,25,15,12,10,33,16,44,6,44,5,31,,
44,44,44,44,10,44,44,44,44,44,35,44,44,2,1,8,3,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,13,,
44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,,
44,44,20,44,20,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,20,44,44,44,44,44,4,44,20,43,44,44,44,20,43,44,44,1,44,4,44,20,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,,
5,16,44,10,8,44,44,44,44,44,4,44,44,15,44,5,5,44,44,44,44,9,44,44,12,17,44,1,19,44,18,6,44,44,11,2,44,44,7,44,3,5,14,13,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,1,44,44,44,44,44,44,44,44,44,44,44,5,4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,9,10,44,44,44,44,44,44,44,44,44,44,44,6,,
15,14,2,24,5,20,44,44,Skipped,31,1,4,19,13,25,17,8,18,Skipped,44,29,10,44,32,9,27,28,11,Skipped,21,7,3,44,16,6,26,33,44,23,Skipped,12,44,30,22,,
4,44,44,1,44,44,44,44,44,44,1,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,6,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,1,44,44,2,44,44,44,44,44,6,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,5,44,44,44,44,44,44,3,44,44,,
12,1,44,25,7,25,44,44,44,25,6,44,18,17,25,14,4,44,44,44,44,25,25,44,15,19,25,5,44,8,25,3,44,9,2,44,26,44,11,44,13,44,10,16,,
2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,3,1,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
6,5,44,13,18,44,44,44,44,44,7,44,44,12,44,44,15,44,44,44,44,4,44,44,44,44,44,11,44,16,10,8,44,3,1,44,44,44,14,44,2,44,9,17,,
44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,2,,
