rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,18,16,14,80,80,80,80,17,80,80,80,80,80,80,80,9,80,80,80,80,27,80,25,80,80,80,4,3,7,19,30,29,80,80,80,80,80,80,80,80,80,80,80,80,80,22,80,28,80,80,21,80,80,80,12,80,13,80,80,23,10,80,80,80,8,11,2,5,80,24,6,80,15,1,80,80,20,26,80,,
80,31,37,80,28,6,27,80,80,80,36,17,35,80,80,45,80,80,34,41,14,2,80,80,80,80,11,42,80,80,22,7,80,80,44,80,80,80,18,43,19,13,12,40,80,26,16,80,80,21,80,80,8,6,80,80,5,4,80,80,20,29,80,23,80,30,17,32,39,24,9,80,80,15,10,80,38,33,3,80,,
80,12,12,80,7,24,80,14,80,21,80,24,80,80,80,24,11,80,10,1,21,80,8,14,3,12,80,25,8,80,9,20,80,80,24,24,25,2,80,80,80,6,17,80,80,13,80,10,80,14,80,80,80,5,1,80,80,5,6,80,19,80,80,16,80,4,7,80,80,8,80,8,2,5,80,19,3,5,12,67,,
38,14,19,Skipped,Skipped,20,Skipped,24,25,14,33,Skipped,18,Skipped,34,Skipped,Skipped,38,Skipped,Skipped,Skipped,Skipped,2,13,52,Skipped,9,16,30,23,40,3,50,45,60,Skipped,48,Skipped,Skipped,12,Skipped,Skipped,Skipped,5,Skipped,1,6,13,36,38,38,22,Skipped,59,7,Skipped,15,16,31,16,Skipped,21,Skipped,56,53,4,40,16,10,38,13,11,49,17,12,55,15,8,15,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
42,27,71,12,48,23,47,68,29,59,58,39,53,65,25,72,52,63,76,37,16,17,51,60,63,77,41,32,6,62,35,15,28,79,38,74,75,80,9,36,30,43,55,67,58,22,10,50,34,20,66,44,8,24,64,21,31,2,70,13,49,14,61,57,40,7,33,26,1,69,18,5,73,11,3,78,46,4,19,54,,
80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,80,10,80,80,80,80,80,4,80,80,80,80,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,3,80,80,80,80,80,2,80,80,80,80,80,,
80,25,80,9,80,24,80,80,80,13,80,30,80,80,80,31,80,80,30,15,6,33,80,80,80,80,80,22,80,80,80,18,80,80,24,80,80,30,30,80,8,80,80,11,80,20,4,80,80,80,80,80,3,7,80,80,80,2,80,80,80,80,30,80,30,5,23,1,14,19,80,80,80,17,10,80,80,16,12,80,,
25,20,80,17,80,27,80,80,80,7,24,80,80,80,21,80,80,80,80,80,80,80,80,80,80,80,13,14,80,80,80,80,9,80,26,80,80,80,28,80,80,80,80,80,80,15,22,6,80,19,80,80,80,16,80,80,10,11,80,80,80,5,80,80,80,4,80,12,1,80,18,80,80,23,2,80,80,8,3,80,,
