file,plurality,top4_plurality,IRV,top4_IRV,top-two,top4_top-two,borda-pm,top4_borda-pm,top-3-truncation,top4_top-3-truncation,condorcet,top4_condorcet,minimax,top4_minimax,smith,top4_smith,smith-minimax,top4_smith-minimax,ranked-pairs,top4_ranked-pairs
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Coogee.csv,NOTLEY-SMITH Bruce,NOTLEY-SMITH Bruce,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Cessnock.csv,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Maroubra.csv,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data The Entrance.csv,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Bathurst.csv,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Oatley.csv,COURE Mark,COURE Mark,COURE Mark,COURE Mark,COURE Mark,COURE Mark,COURE Mark,COURE Mark,COURE Mark,COURE Mark,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Swansea.csv,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Blue Mountains.csv,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Miranda.csv,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,PETINOS Eleni,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Auburn.csv,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Barwon.csv,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lakemba.csv,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Mount Druitt.csv,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Pittwater.csv,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,STOKES Robert,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data East Hills.csv,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,LINDSAY Wendy,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Gosford.csv,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Monaro.csv,BARILARO John,BARILARO John,BARILARO John,BARILARO John,BARILARO John,BARILARO John,BARILARO John,BARILARO John,BARILARO John,BARILARO John,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Cootamundra.csv,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Parramatta.csv,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,LEE Geoffrey,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Epping.csv,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,PERROTTET Dominic,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan,MASCARENHAS Alan
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Blacktown.csv,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wyong.csv,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David,HARRIS David
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lake Macquarie.csv,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg,PIPER Greg
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data North Shore.csv,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby,PETTIGREW Toby
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Kogarah.csv,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris,MINNS Chris
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wagga Wagga.csv,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe,McGIRR Joe
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Shellharbour.csv,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna,WATSON Anna
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Port Macquarie.csv,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,WILLIAMS Leslie,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter,ALLEY Peter
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Riverstone.csv,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CONOLLY Kevin,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie,CHRISTIE Annemarie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wallsend.csv,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia,HORNERY Sonia
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Penrith.csv,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,AYRES Stuart,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen,McKEOWN Karen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Seven Hills.csv,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,TAYLOR Mark,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga,OWEN Durga
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Prospect.csv,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh,McDERMOTT Hugh
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Terrigal.csv,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,CROUCH Adam,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff,SUNDSTROM Jeff
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Macquarie Fields.csv,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack,CHANTHIVONG Anoulack
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Dubbo.csv,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,SAUNDERS Dugald,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew,DICKERSON Mathew
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Hornsby.csv,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,KEAN Matthew,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie,GOMPERTZ Katie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lane Cove.csv,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ROBERTS Anthony,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew,ZBIK Andrew
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Tweed.csv,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,PROVEST Geoff,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig,ELLIOT Craig
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Mulgoa.csv,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,DAVIES Tanya,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd,CARNEY Todd
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wollongong.csv,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul,SCULLY Paul
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Keira.csv,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan,PARK Ryan
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Tamworth.csv,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin,ANDERSON Kevin
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Clarence.csv,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GULAPTIS Chris,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent,GILBERT Trent
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Port Stephens.csv,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate,WASHINGTON Kate
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Holsworthy.csv,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,GIBBONS Melanie,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma,KALIYANDA Charishma
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Davidson.csv,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,O'DEA Jonathan,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity,DAVIS Felicity
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Granville.csv,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia,FINN Julia
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Rockdale.csv,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve,KAMPER Steve
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Charlestown.csv,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie,HARRISON Jodie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Newcastle.csv,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim,CRAKANTHORP Tim
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wakehurst.csv,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,HAZZARD Brad,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris,SHARPE Chris
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Campbelltown.csv,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg,WARREN Greg
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Manly.csv,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn,GLANVILLE Kristyn
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Castle Hill.csv,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond,WILLIAMS Raymond
