ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,numSeats,numCands
40020_00001_000054,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000035,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000011,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000056,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000036,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_797282_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_795577_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_795193_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_794736_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_794348_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_792822_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_787768_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_618580_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
