Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
1022,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,2,6
1023,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1024,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1025,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1026,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1027,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1028,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1029,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,2,6
1030,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1031,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,2,6
1032,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,2,6
1033,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1034,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,MIKE MCCURDY,2,6
1035,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1036,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,2,6
1037,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,MIKE MCCURDY,LUKE WOJCIECHOWSKI,2,6
1038,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1039,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1040,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1041,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,2,6
1042,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,2,6
1043,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1044,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1045,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1046,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,2,6
1047,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1048,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,MIKE MCCURDY,2,6
1049,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,2,6
1050,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1051,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,2,6
1052,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1053,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1054,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,2,6
1055,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1056,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1057,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1058,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1059,JASON TAYLOR,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,2,6
1060,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1061,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,2,6
1062,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1063,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1064,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1065,JASON TAYLOR,RANDALL FOX,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1066,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR,2,6
1067,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,2,6
1068,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1069,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,2,6
1070,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,2,6
1071,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,2,6
1072,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1073,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
