Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num cands,Num seats
LE68,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE69,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE70,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE71,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE72,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE73,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE74,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE75,NICOLE KUNZE,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE76,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,9,2
LE77,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE78,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE79,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,9,2
LE81,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE82,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE83,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE84,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,MONTANE C HAMILTON,9,2
LE85,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE86,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE87,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,9,2
LE88,NICOLE KUNZE,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE89,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,9,2
LE90,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,9,2
LE91,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,9,2
LE92,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE93,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE94,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CHRIS CONDIE,9,2
LE95,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE96,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,9,2
LE97,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE98,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,9,2
LE99,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE100,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,9,2
LE101,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE102,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,9,2
LE103,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE104,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,9,2
LE105,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE106,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,9,2
