Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num cands,Num seats
LE8298,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,9,2
LE8299,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8300,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,9,2
LE8301,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,9,2
LE8302,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8303,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8304,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,9,2
LE8305,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8306,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8307,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8308,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE8309,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8310,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,9,2
LE8311,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8312,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CHRIS CONDIE,9,2
LE8313,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,9,2
LE8314,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE8316,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE8317,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8318,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,9,2
LE8319,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8320,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,MONTANE C HAMILTON,CHRIS CONDIE,9,2
LE8321,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE8322,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8323,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE8324,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE8325,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,9,2
LE8326,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8327,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8328,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8329,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE8330,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,skipped,skipped,9,2
LE8331,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE8332,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE8333,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,9,2
LE8334,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,9,2
LE8335,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,skipped,9,2
LE8336,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,skipped,9,2
LE8337,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8338,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,9,2
LE8339,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8340,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,9,2
LE8341,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE8343,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,9,2
LE8344,ETHAN M. ERICKSON,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,9,2
LE8345,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8346,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,skipped,skipped,skipped,skipped,9,2
LE8347,CHRIS CONDIE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE8348,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8349,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE8350,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE8351,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,9,2
LE8352,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE8353,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,CAMI PURTSCHERT,9,2
LE8354,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8355,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,9,2
LE8356,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8357,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8359,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8360,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,9,2
LE8361,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,9,2
LE8362,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,9,2
LE8363,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE8364,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8365,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE8366,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE8367,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE8368,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,9,2
LE8369,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE8370,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,9,2
LE8371,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8372,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE8373,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8374,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE8375,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,MONTANE C HAMILTON,PAUL HANCOCK,9,2
LE8376,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE8377,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,9,2
LE8378,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE8379,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,9,2
LE8380,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8381,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,9,2
LE8382,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE8383,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,9,2
LE8384,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,9,2
LE8385,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE8386,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8387,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE8389,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8390,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8391,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8393,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,9,2
LE8394,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CHRIS CONDIE,9,2
LE8395,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE8396,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,9,2
LE8397,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8398,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE8399,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE8400,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE8401,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,9,2
LE8402,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,CHRIS CONDIE,9,2
LE8403,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE8404,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8405,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8406,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE8407,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE8408,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,9,2
LE8409,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE8410,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8411,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,AARON BULLEN,9,2
LE8412,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,9,2
LE8413,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8414,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,9,2
LE8415,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,9,2
LE8416,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,skipped,skipped,9,2
LE8417,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,9,2
LE8418,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE8419,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,MONTANE C HAMILTON,CHRIS CONDIE,MICHELLE MILES,skipped,9,2
LE8420,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8421,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE8422,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8423,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8424,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE8425,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,9,2
LE8426,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,CHRIS CONDIE,9,2
LE8427,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,9,2
LE8428,ETHAN M. ERICKSON,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,9,2
LE8429,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,9,2
LE8430,PAUL HANCOCK,MICHELLE MILES,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE8431,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8432,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8433,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,9,2
LE8434,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE8435,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,9,2
LE8436,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8437,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE8438,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8439,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE8440,ETHAN M. ERICKSON,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,9,2
LE8441,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
