Vote,rank1,rank2,rank3,rank4,rank5,rank6,Num cands,Num seats
1049,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,6,2
1050,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1051,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,6,2
1052,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1053,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1054,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,6,2
1055,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,6,2
1056,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1057,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1058,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,6,2
1059,JASON TAYLOR,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,6,2
1060,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1061,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,6,2
1062,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1063,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,6,2
1064,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1065,JASON TAYLOR,RANDALL FOX,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1066,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR,6,2
1067,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,6,2
1068,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,6,2
1069,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,6,2
1070,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,6,2
1071,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,6,2
1072,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1073,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1074,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1075,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,6,2
1076,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1077,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1078,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
