australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_North Shore.csv,WILSON Felicity,CORRIGAN Carolyn,WILSON Felicity,CORRIGAN Carolyn,WILSON Felicity,WILSON Felicity,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_Manly.csv,GRIFFIN James,RIDGE Kathryn,GRIFFIN James,RIDGE Kathryn,GRIFFIN James,GRIFFIN James,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Blacktown.csv,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Murray.csv,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Sydney.csv,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Newtown.csv,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Balmain.csv,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Camden.csv,SIDGREAVES Peter,QUINNELL Sally,SIDGREAVES Peter,QUINNELL Sally,SIDGREAVES Peter,SIDGREAVES Peter,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Maitland.csv,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Ku-ring-gai.csv,HENSKENS Alister,KEELING Amanda,HENSKENS Alister,KEELING Amanda,HENSKENS Alister,HENSKENS Alister,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Bega.csv,CONSTANCE Andrew,ATKINSON Leanne,CONSTANCE Andrew,ATKINSON Leanne,CONSTANCE Andrew,CONSTANCE Andrew,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Orange.csv,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Goulburn.csv,TUCKERMAN Wendy,STEPHENS Ursula,TUCKERMAN Wendy,STEPHENS Ursula,TUCKERMAN Wendy,TUCKERMAN Wendy,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Kiama.csv,WARD Gareth,HIGGINS Anthony (Andy),WARD Gareth,HIGGINS Anthony (Andy),WARD Gareth,WARD Gareth,HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy)
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wollondilly.csv,SMITH Nathaniel,HANNAN Judy,SMITH Nathaniel,HANNAN Judy,SMITH Nathaniel,SMITH Nathaniel,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Fairfield.csv,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Coogee.csv,NOTLEY-SMITH Bruce,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie,O'NEILL Marjorie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Cessnock.csv,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton,BARR Clayton
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Maroubra.csv,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael,DALEY Michael
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data The Entrance.csv,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David,MEHAN David
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Bathurst.csv,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul,TOOLE Paul
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Oatley.csv,COURE Mark,MANNERING Lucy,COURE Mark,MANNERING Lucy,COURE Mark,COURE Mark,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy,MANNERING Lucy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Swansea.csv,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin,CATLEY Yasmin
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Blue Mountains.csv,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish,DOYLE Trish
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Miranda.csv,PETINOS Eleni,ARMSTRONG Jen,PETINOS Eleni,ARMSTRONG Jen,PETINOS Eleni,PETINOS Eleni,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen,ARMSTRONG Jen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Auburn.csv,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda,VOLTZ Lynda
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Barwon.csv,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy,BUTLER Roy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lakemba.csv,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad,DIB Jihad
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Mount Druitt.csv,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond,ATALLA Edmond
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Pittwater.csv,STOKES Robert,KORZY Miranda,STOKES Robert,KORZY Miranda,STOKES Robert,STOKES Robert,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda,KORZY Miranda
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data East Hills.csv,LINDSAY Wendy,MURPHY Cameron,LINDSAY Wendy,MURPHY Cameron,LINDSAY Wendy,LINDSAY Wendy,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron,MURPHY Cameron
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Gosford.csv,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Monaro.csv,BARILARO John,WILSON Bryce,BARILARO John,WILSON Bryce,BARILARO John,BARILARO John,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce,WILSON Bryce
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Cootamundra.csv,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Parramatta.csv,LEE Geoffrey,SCULLY Liz,LEE Geoffrey,SCULLY Liz,LEE Geoffrey,LEE Geoffrey,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz,SCULLY Liz
