"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","Num Cands","Num Seats"
"28","3","8","1","6","4","2","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"25","21","27","20","28","5","15","18","3","26","10","22","4","12","11","14","24","17","13","16","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","26","15","9","27","5","13","22","12","2","14","8","20","23","4","18","17","10","11","21","19","16","25","1","3","skipped","skipped","skipped","nan","nan"
"28","6","1","10","5","7","11","9","4","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","15","9","4","3","20","11","16","5","7","14","8","2","10","18","22","17","19","21","1","13","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"28","12","8","3","1","10","14","7","13","4","5","6","11","2","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","13","8","1","3","15","14","11","5","6","17","12","9","4","18","19","10","2","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"25","11","23","6","7","8","20","28","19","3","4","15","17","27","9","2","22","13","16","24","12","14","21","26","18","1","10","5","nan","nan"
"22","14","28","5","2","3","13","11","16","18","9","24","10","17","8","12","6","23","20","19","4","21","1","15","7","skipped","skipped","skipped","nan","nan"
"28","10","8","12","2","21","13","17","1","5","11","19","9","4","6","20","14","16","22","18","3","15","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","28","9","10","11","12","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
