rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,numSeats,numCands
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,,
11,38,37,4,12,26,39,20,2,29,32,46,14,10,46,21,25,44,48,49,47,44,30,44,46,1,44,8,22,24,33,39,5,45,6,9,28,49,16,19,43,31,17,15,27,3,18,7,42,50,23,13,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
17,26,18,13,11,22,52,4,3,52,52,52,52,1,8,5,52,52,52,25,52,52,24,23,52,14,52,52,20,2,19,15,7,12,16,52,52,52,52,52,52,52,21,6,10,52,52,52,52,52,52,9,,
52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,10,52,5,52,6,2,52,8,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,9,52,52,3,11,52,52,52,52,52,52,52,52,52,52,7,52,52,52,52,4,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
12,26,52,37,7,52,20,Skipped,29,Skipped,28,30,52,4,11,22,Skipped,52,33,16,25,17,15,38,19,13,52,3,21,6,52,2,5,10,9,23,52,27,36,35,18,34,24,8,52,32,1,14,52,52,52,31,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,1,52,52,52,5,2,52,52,52,52,52,52,52,6,52,52,52,52,52,52,52,52,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,7,52,52,52,52,52,52,52,3,,
52,52,52,52,52,52,52,3,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,,
52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
1,9,52,52,12,7,52,52,52,52,52,6,8,4,21,52,52,52,20,52,52,14,11,52,52,3,52,52,15,52,17,2,22,25,18,52,52,24,10,16,52,52,52,5,52,13,19,52,52,52,52,23,,
37,52,52,52,5,4,52,52,52,52,33,52,52,37,52,52,52,52,35,52,52,52,52,52,52,38,52,52,52,52,52,52,1,52,7,52,52,52,52,52,52,52,52,40,52,52,52,52,52,52,52,4,,
