voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
2070,John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,skipped,skipped,skipped,4
2071,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,4
2072,Andrew GIUSTI Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,Tommy SLOAN Independent,Ben DASHPER Scottish National Party (SNP),4
2073,Andrew GIUSTI Scottish Conservative and Unionist,Tommy SLOAN Independent,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,skipped,skipped,4
2074,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
2075,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
2076,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
2077,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,skipped,4
2078,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,4
2079,Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),skipped,4
2080,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,Andrew GIUSTI Scottish Conservative and Unionist,skipped,4
2081,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2082,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2083,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2084,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2085,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2086,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2087,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2088,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,skipped,skipped,skipped,skipped,4
2089,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,Tommy SLOAN Independent,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,4
2090,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2091,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2092,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2093,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2094,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2095,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2096,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2097,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2098,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2099,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2100,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2101,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2102,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2103,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,skipped,skipped,4
2104,Andrew GIUSTI Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2105,Andrew GIUSTI Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2106,Peter Richard BARLOW Scottish Green Party,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2107,Chrissie HILL Scottish Conservative and Unionist,Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,4
2108,Chrissie HILL Scottish Conservative and Unionist,Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,4
2109,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2110,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2111,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2112,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2113,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2114,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2115,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2116,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2117,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2118,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2119,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,4
2120,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2121,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2122,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2123,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2124,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2125,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2126,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
2127,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
