VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,rank7
PP,Batemans Bay Comm Cntr,2070,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2071,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),STARMER Karyn,HATCHER Mat,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2072,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2073,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2074,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2075,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2076,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2077,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison,STARMER Karyn
PP,Batemans Bay Comm Cntr,2078,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2079,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,GRACE David,STARMER Karyn,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2080,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,STARMER Karyn,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2081,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2082,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2083,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2084,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2085,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2086,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2087,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2088,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),STARMER Karyn,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2089,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2090,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2091,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2092,Formal,MP,POLLOCK Rob,HATCHER Mat,STARMER Karyn,SMITH Gary,WORTHINGTON Alison,GRACE David,HARRISON N (Tubby)
PP,Batemans Bay Comm Cntr,2093,Formal,MP,POLLOCK Rob,HATCHER Mat,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2094,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2095,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2096,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2097,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2098,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2099,Formal,MP,POLLOCK Rob,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),STARMER Karyn
PP,Batemans Bay Comm Cntr,2100,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2101,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2102,Formal,MP,POLLOCK Rob,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2103,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2104,Formal,MP,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,WORTHINGTON Alison,GRACE David
PP,Batemans Bay Comm Cntr,2105,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2106,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2107,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2108,Formal,MP,POLLOCK Rob,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2109,Formal,MP,POLLOCK Rob,STARMER Karyn,HATCHER Mat,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison,GRACE David
PP,Batemans Bay Comm Cntr,2110,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2111,Formal,MP,POLLOCK Rob,WORTHINGTON Alison,GRACE David,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn
PP,Batemans Bay Comm Cntr,2112,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2113,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2114,Formal,MP,POLLOCK Rob,STARMER Karyn,HATCHER Mat,WORTHINGTON Alison,GRACE David,SMITH Gary,HARRISON N (Tubby)
PP,Batemans Bay Comm Cntr,2115,Formal,MP,POLLOCK Rob,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,STARMER Karyn
PP,Batemans Bay Comm Cntr,2116,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2117,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2118,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2119,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2120,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2121,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2122,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2123,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2124,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2125,Formal,MP,POLLOCK Rob,GRACE David,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2126,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2127,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2128,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2129,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2130,Formal,MP,POLLOCK Rob,STARMER Karyn,HATCHER Mat,SMITH Gary,HARRISON N (Tubby),GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2131,Formal,MP,POLLOCK Rob,HATCHER Mat,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2132,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2133,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2134,Formal,MP,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2135,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2136,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2137,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2138,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2139,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2140,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2141,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2142,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2143,Formal,MP,STARMER Karyn,POLLOCK Rob,HATCHER Mat,HARRISON N (Tubby),SMITH Gary,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2144,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2145,Formal,MP,STARMER Karyn,HATCHER Mat,WORTHINGTON Alison,GRACE David,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob
PP,Batemans Bay Comm Cntr,2146,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2147,Formal,MP,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2148,Formal,MP,SMITH Gary,WORTHINGTON Alison,HARRISON N (Tubby),STARMER Karyn,GRACE David,HATCHER Mat,POLLOCK Rob
PP,Batemans Bay Comm Cntr,2149,Formal,MP,SMITH Gary,HATCHER Mat,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2150,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2151,Formal,MP,SMITH Gary,WORTHINGTON Alison,STARMER Karyn,GRACE David,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat
PP,Batemans Bay Comm Cntr,2152,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2153,Formal,MP,SMITH Gary,POLLOCK Rob,STARMER Karyn,HATCHER Mat,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby)
PP,Batemans Bay Comm Cntr,2154,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2155,Formal,MP,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob,WORTHINGTON Alison,GRACE David,HATCHER Mat,STARMER Karyn
PP,Batemans Bay Comm Cntr,2156,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2157,Formal,MP,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2158,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2159,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2160,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2161,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2162,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2163,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2164,Formal,MP,SMITH Gary,GRACE David,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2165,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2166,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2167,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2168,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2169,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2170,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2171,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2172,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2173,Formal,MP,POLLOCK Rob,WORTHINGTON Alison,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,GRACE David,STARMER Karyn
PP,Batemans Bay Comm Cntr,2174,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2175,Formal,MP,POLLOCK Rob,GRACE David,HATCHER Mat,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HARRISON N (Tubby)
PP,Batemans Bay Comm Cntr,2176,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2177,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2178,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2179,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2180,Formal,MP,POLLOCK Rob,HATCHER Mat,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2181,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2182,Formal,MP,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2183,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2184,Formal,MP,STARMER Karyn,POLLOCK Rob,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2185,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2186,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2187,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2188,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,skipped,skipped
PP,Batemans Bay Comm Cntr,2189,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob
PP,Batemans Bay Comm Cntr,2190,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob
PP,Batemans Bay Comm Cntr,2191,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2192,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2193,Formal,MP,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2194,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2195,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2196,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2197,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2198,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2199,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2200,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2201,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,SMITH Gary,GRACE David,WORTHINGTON Alison,STARMER Karyn,skipped
PP,Batemans Bay Comm Cntr,2202,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2203,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2204,Formal,MP,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2205,Formal,MP,STARMER Karyn,GRACE David,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2206,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2207,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2208,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2209,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2210,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2211,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,skipped,skipped
PP,Batemans Bay Comm Cntr,2212,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,skipped,skipped
PP,Batemans Bay Comm Cntr,2213,Formal,MP,STARMER Karyn,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2214,Formal,MP,STARMER Karyn,GRACE David,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2215,Formal,MP,STARMER Karyn,POLLOCK Rob,HATCHER Mat,GRACE David,SMITH Gary,WORTHINGTON Alison,HARRISON N (Tubby)
PP,Batemans Bay Comm Cntr,2216,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2217,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2218,Formal,MP,HARRISON N (Tubby),HATCHER Mat,POLLOCK Rob,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2219,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2220,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2221,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2222,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2223,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2224,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2225,Formal,MP,HARRISON N (Tubby),STARMER Karyn,POLLOCK Rob,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2226,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2227,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2228,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2229,Formal,MP,HARRISON N (Tubby),STARMER Karyn,GRACE David,HATCHER Mat,WORTHINGTON Alison,POLLOCK Rob,SMITH Gary
PP,Batemans Bay Comm Cntr,2230,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2231,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2232,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2233,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2234,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2235,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,POLLOCK Rob,STARMER Karyn,HATCHER Mat,SMITH Gary,GRACE David
PP,Batemans Bay Comm Cntr,2236,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2237,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2238,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2239,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2240,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2241,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2242,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2243,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2244,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2245,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2246,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2247,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2248,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2249,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2250,Formal,MP,HARRISON N (Tubby),GRACE David,WORTHINGTON Alison,HATCHER Mat,SMITH Gary,POLLOCK Rob,STARMER Karyn
PP,Batemans Bay Comm Cntr,2251,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2252,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,GRACE David,STARMER Karyn,POLLOCK Rob,HATCHER Mat,SMITH Gary
PP,Batemans Bay Comm Cntr,2253,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2254,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2255,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2256,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2257,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2258,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2259,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2260,Formal,MP,HARRISON N (Tubby),GRACE David,POLLOCK Rob,STARMER Karyn,HATCHER Mat,SMITH Gary,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2261,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2262,Formal,MP,HARRISON N (Tubby),GRACE David,STARMER Karyn,POLLOCK Rob,SMITH Gary,HATCHER Mat,WORTHINGTON Alison
PP,Batemans Bay Comm Cntr,2263,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2264,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2265,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2266,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2267,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2268,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
PP,Batemans Bay Comm Cntr,2269,Formal,MP,HARRISON N (Tubby),HATCHER Mat,GRACE David,SMITH Gary,WORTHINGTON Alison,STARMER Karyn,POLLOCK Rob
