VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5
Enrolment/NAMAV,Enrolment/NAMAV,13832,Formal,MP,NAPOLI Anne,MERCURI Rina,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13833,Formal,MP,NAPOLI Anne,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13834,Formal,MP,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),MERCURI Rina,CURRAN Doug,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13835,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13836,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13837,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13838,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13839,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13840,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13841,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13842,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13843,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13844,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13845,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13846,Formal,MP,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13847,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13848,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13849,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13850,Formal,MP,NAPOLI Anne,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),MERCURI Rina,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13851,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13852,Formal,MP,NAPOLI Anne,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13853,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13854,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13855,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13856,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13857,Formal,MP,NAPOLI Anne,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13858,Formal,MP,NAPOLI Anne,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13859,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13860,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13861,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13862,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13863,Formal,MP,NAPOLI Anne,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13864,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13865,Formal,MP,NAPOLI Anne,ZAPPACOSTA Dino,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13866,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
