Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
LE6051,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE6052,CHRIS CONDIE,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6053,NICOLE KUNZE,ETHAN M. ERICKSON,MICHELLE MILES,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE6054,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6055,PAUL HANCOCK,MICHELLE MILES,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,2,9
LE6056,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6057,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6058,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6059,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6060,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE6061,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,CHRIS CONDIE,ETHAN M. ERICKSON,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,2,9
LE6062,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6063,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE6064,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE6065,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6066,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6067,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,skipped,skipped,skipped,skipped,2,9
LE6069,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6070,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE6071,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,2,9
LE6072,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6073,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,2,9
LE6074,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6075,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6077,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,2,9
LE6078,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE6079,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,CHRIS CONDIE,CAMI PURTSCHERT,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE6080,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,CHRIS CONDIE,CAMI PURTSCHERT,2,9
LE6081,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,2,9
LE6082,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,CHRIS CONDIE,CAMI PURTSCHERT,2,9
LE6083,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6084,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,2,9
LE6085,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6086,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,2,9
LE6087,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,2,9
LE6088,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,2,9
LE6089,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6090,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,2,9
LE6091,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,2,9
LE6092,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,2,9
LE6093,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,2,9
LE6094,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE6095,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,skipped,2,9
LE6096,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,2,9
LE6097,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,2,9
LE6098,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,skipped,skipped,skipped,2,9
LE6099,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,skipped,skipped,2,9
LE6100,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6101,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6102,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,2,9
LE6103,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,2,9
LE6104,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,2,9
LE6105,CAMI PURTSCHERT,PAUL HANCOCK,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,2,9
LE6106,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6107,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6108,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6109,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6110,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,2,9
LE6111,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE6112,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE6113,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE6114,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE6115,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE6116,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE6117,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6118,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,2,9
LE6119,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE6120,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,skipped,skipped,2,9
LE6121,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,2,9
LE6122,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,skipped,2,9
LE6123,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE6124,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,2,9
LE6125,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6126,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,AARON BULLEN,2,9
LE6127,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6128,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE6129,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE6130,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,skipped,skipped,skipped,2,9
LE6132,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6133,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6134,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,2,9
LE6136,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,2,9
LE6137,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,2,9
LE6138,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6139,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,2,9
LE6140,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6141,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,2,9
LE6142,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE6143,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,2,9
LE6144,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6145,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6146,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE6147,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6148,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE6149,AARON BULLEN,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6150,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE6151,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE6152,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE6153,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,PAUL HANCOCK,ETHAN M. ERICKSON,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,2,9
LE6154,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE6155,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE6156,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,skipped,2,9
LE6157,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,NICOLE KUNZE,2,9
LE6158,CHRIS CONDIE,CAMI PURTSCHERT,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,skipped,2,9
LE6159,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6161,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6162,CHRIS CONDIE,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6163,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,2,9
LE6164,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE6165,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6166,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6167,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE6168,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE6169,CAMI PURTSCHERT,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6171,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE6172,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,2,9
LE6173,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6174,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6175,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6176,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,2,9
LE6177,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE6178,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,LORI MCINTOSH LE,2,9
LE6179,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6180,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE6181,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE6182,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,2,9
LE6183,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,2,9
LE6184,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,skipped,skipped,skipped,2,9
LE6185,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,2,9
LE6187,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE6188,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE6189,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE6190,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,2,9
LE6191,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,2,9
LE6192,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6193,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,2,9
LE6194,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,2,9
LE6195,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,2,9
LE6196,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE6197,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
