Index,rank1,rank2,rank3,numSeats,numCands
VI158,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI159,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI160,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI161,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI162,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI163,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI164,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI165,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI166,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI167,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI168,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI169,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI170,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI171,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI172,JULIE FULLMER,skipped,skipped,1,3
VI173,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI174,JULIE FULLMER,skipped,skipped,1,3
VI175,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI176,JULIE FULLMER,skipped,skipped,1,3
VI177,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI178,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI179,MARC BRIMHALL,MARIA GUADALUPE CANE,skipped,1,3
VI180,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI181,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI182,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI183,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI184,JULIE FULLMER,skipped,skipped,1,3
VI185,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI186,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI187,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI188,JULIE FULLMER,skipped,skipped,1,3
VI189,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI190,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,1,3
VI191,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI192,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI193,JULIE FULLMER,skipped,skipped,1,3
VI194,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI195,JULIE FULLMER,skipped,skipped,1,3
VI196,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI197,JULIE FULLMER,skipped,skipped,1,3
VI198,JULIE FULLMER,skipped,skipped,1,3
VI199,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI200,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI201,JULIE FULLMER,skipped,skipped,1,3
VI202,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI203,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI204,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,1,3
VI205,JULIE FULLMER,skipped,skipped,1,3
VI206,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI207,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI208,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI209,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI210,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI211,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI212,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI213,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI214,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI215,JULIE FULLMER,skipped,skipped,1,3
VI216,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI217,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI218,JULIE FULLMER,skipped,skipped,1,3
