Index,rank1,rank2,rank3,rank4,numSeats,numCands
WH298,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH299,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH300,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH301,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH302,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH303,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH304,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH305,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH306,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH307,DOREL B. KYNASTON,skipped,skipped,skipped,2,4
WH308,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH309,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH310,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH311,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH312,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH313,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH314,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,2,4
WH315,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH316,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,skipped,2,4
WH317,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH318,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,2,4
WH319,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH320,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH321,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH322,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH323,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH324,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH325,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH326,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH327,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH328,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH329,JANET LUNT,skipped,skipped,skipped,2,4
WH330,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH331,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH332,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH333,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH334,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH335,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH336,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH337,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH338,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH339,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH340,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH341,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH342,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH343,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH344,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH345,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH346,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH347,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH348,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH349,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH350,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH351,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH352,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH353,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH354,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH355,TOBY M. HARDING,JANET LUNT,skipped,skipped,2,4
WH356,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH357,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH358,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,skipped,2,4
WH359,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH360,JANET LUNT,skipped,skipped,skipped,2,4
WH361,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH362,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH363,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,2,4
WH364,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH365,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH366,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH367,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH368,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH369,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH370,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH371,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH372,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH373,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH374,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH375,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH377,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH378,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH379,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH380,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH381,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH382,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH383,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH384,CODY CHAMBERLAIN,skipped,skipped,skipped,2,4
WH385,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH386,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH387,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH388,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH389,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH390,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH391,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH392,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH393,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH394,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,skipped,2,4
WH395,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH396,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH397,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH398,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH399,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH400,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH401,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH402,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH403,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH404,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,2,4
WH405,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH406,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH407,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH408,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH409,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH410,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH411,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH412,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH413,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH414,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH415,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH416,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH417,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,2,4
WH418,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH419,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH420,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH421,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH422,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH423,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH424,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH425,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH426,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH427,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH428,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,2,4
WH429,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH430,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH431,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH432,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH433,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH434,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH435,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH436,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH437,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH438,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH439,DOREL B. KYNASTON,skipped,skipped,skipped,2,4
WH440,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH441,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH442,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH443,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH444,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH445,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH446,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH447,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,skipped,2,4
WH448,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH449,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH450,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH451,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH452,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH453,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH454,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH455,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH456,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH457,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH458,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,skipped,2,4
WH459,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH460,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH461,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,skipped,2,4
WH462,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH463,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH464,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH465,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH466,CODY CHAMBERLAIN,skipped,skipped,skipped,2,4
WH467,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH468,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH469,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH470,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH471,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH472,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH473,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH474,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH475,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH476,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,2,4
WH477,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH478,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH479,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH480,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH481,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH482,DOREL B. KYNASTON,skipped,skipped,skipped,2,4
WH483,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,2,4
WH484,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH485,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH486,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH487,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH488,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH489,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH490,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH491,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH492,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH493,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH494,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH495,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH497,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,2,4
WH498,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,2,4
WH499,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH501,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,2,4
WH502,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH503,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,2,4
WH504,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH505,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH506,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH507,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH508,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH509,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH510,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,2,4
WH511,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH512,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH514,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH515,CODY CHAMBERLAIN,skipped,skipped,skipped,2,4
WH516,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH517,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH518,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH519,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH520,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH521,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH522,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH523,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH524,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH525,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH526,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH527,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH528,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH529,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH530,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH531,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH532,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH533,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH534,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH535,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH536,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH537,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH538,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH539,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH540,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH541,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH542,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH543,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH544,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,2,4
WH545,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH546,JANET LUNT,skipped,skipped,skipped,2,4
WH547,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH548,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH549,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH550,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH551,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH552,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH554,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH555,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH556,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH557,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH558,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH559,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH560,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH561,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH562,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH563,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH564,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH565,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH566,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,skipped,2,4
WH567,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH568,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH569,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH570,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH571,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH572,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH573,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH574,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH575,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH576,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH577,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH578,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH579,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH580,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH581,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH582,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH583,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,2,4
WH584,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH585,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH586,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH587,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH588,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,2,4
WH589,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH590,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
