voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
6821,Willy STIRLING Scottish Conservative and Unionist,Fayzan REHMAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6822,Graham HOUSTON Scottish National Party (SNP),Fayzan REHMAN Scottish Liberal Democrats,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Ewan DILLON Scottish Labour Party,Ahsan KHAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
6823,Ewan DILLON Scottish Labour Party,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Fayzan REHMAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
6824,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Alastair George MAJURY Independent,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),Bill COWAN Alba Party for independence,4
6825,Douglas DODDS Scottish Conservative and Unionist,Graham HOUSTON Scottish National Party (SNP),Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6826,Douglas DODDS Scottish Conservative and Unionist,Graham HOUSTON Scottish National Party (SNP),Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6827,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,Ewan DILLON Scottish Labour Party,Fayzan REHMAN Scottish Liberal Democrats,Alastair George MAJURY Independent,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
6828,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Fayzan REHMAN Scottish Liberal Democrats,Alastair George MAJURY Independent,Ewan DILLON Scottish Labour Party,Willy STIRLING Scottish Conservative and Unionist,Douglas DODDS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
6829,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6830,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6831,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6832,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6833,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6834,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6835,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6836,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6837,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6838,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6839,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6840,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6841,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6842,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6843,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6844,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6845,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6846,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6847,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6848,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6849,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6850,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6851,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6852,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
