ballotID,ward,rank1,rank2,rank3,rank4,numSeats,numCands
728,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
732,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
739,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
740,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
741,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
743,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
745,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
757,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
763,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
764,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
766,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
771,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
793,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
795,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
798,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
800,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
801,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
803,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
811,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
812,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
813,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
822,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
824,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
828,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
833,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
835,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
842,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
844,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
851,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
855,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
860,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
863,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
882,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
884,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
885,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
893,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
909,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
915,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
917,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
928,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
929,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
930,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
933,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
936,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
951,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
952,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
953,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
963,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
973,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
980,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
985,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
997,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1007,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1019,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1023,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1026,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1029,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1030,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1043,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1051,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1054,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1059,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1061,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1064,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1072,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1076,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1082,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1088,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1095,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1099,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1101,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1110,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1117,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1128,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1129,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1132,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
1137,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
