District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
Albury,Absent,41488,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41489,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41490,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41491,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41492,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41493,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41494,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41495,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41496,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41497,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41498,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41499,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41500,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41501,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41502,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41503,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41504,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41505,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41506,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41507,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41508,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41509,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41510,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41511,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41512,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41513,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41514,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41515,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41516,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41517,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41518,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41519,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41520,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41521,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41522,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41523,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41524,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
