voterId,rank1,rank2,rank3,rank4,numSeats,numCands
412,Con,LD,skipped,skipped,3,4
413,Con,LD,skipped,skipped,3,4
414,Con,LD,skipped,skipped,3,4
415,Con,LD,skipped,skipped,3,4
416,Con,LD,skipped,skipped,3,4
417,Con,LD,skipped,skipped,3,4
418,Con,LD,skipped,skipped,3,4
419,Con,LD,skipped,skipped,3,4
420,Con,LD,skipped,skipped,3,4
421,Con,LD,skipped,skipped,3,4
422,Con,LD,skipped,skipped,3,4
423,Con,LD,skipped,skipped,3,4
424,Con,LD,skipped,skipped,3,4
425,Con,LD,skipped,skipped,3,4
426,Con,LD,skipped,skipped,3,4
427,Con,LD,skipped,skipped,3,4
428,Con,LD,skipped,skipped,3,4
429,Con,LD,skipped,skipped,3,4
430,Con,LD,skipped,skipped,3,4
431,Con,LD,skipped,skipped,3,4
432,Con,LD,skipped,skipped,3,4
433,Con,LD,skipped,skipped,3,4
434,Con,LD,skipped,skipped,3,4
435,Con,LD,skipped,skipped,3,4
436,Con,LD,skipped,skipped,3,4
437,Con,LD,skipped,skipped,3,4
438,Con,LD,skipped,skipped,3,4
439,Con,LD,skipped,skipped,3,4
440,Con,LD,skipped,skipped,3,4
441,Con,LD,skipped,skipped,3,4
442,Con,LD,skipped,skipped,3,4
443,Con,LD,skipped,skipped,3,4
444,Con,LD,skipped,skipped,3,4
445,Con,LD,skipped,skipped,3,4
446,Con,LD,SNP,skipped,3,4
447,Con,LD,SNP,skipped,3,4
448,Con,LD,SNP,skipped,3,4
449,Con,LD,SNP,skipped,3,4
450,Con,LD,SNP,skipped,3,4
451,Con,LD,SNP,skipped,3,4
452,Con,LD,SNP,skipped,3,4
453,Con,LD,SNP,skipped,3,4
454,Con,LD,SNP,skipped,3,4
455,Con,LD,SNP,skipped,3,4
456,Con,LD,SNP,skipped,3,4
457,Con,LD,SNP,skipped,3,4
458,Con,LD,SNP,skipped,3,4
459,Con,LD,SNP,skipped,3,4
460,Con,LD,SNP,skipped,3,4
461,Con,LD,SNP,skipped,3,4
462,Con,LD,SNP,skipped,3,4
463,Con,LD,SNP,skipped,3,4
464,Con,LD,SNP,skipped,3,4
465,Con,LD,SNP,skipped,3,4
466,Con,LD,SNP,skipped,3,4
467,Con,LD,SNP,skipped,3,4
468,Con,LD,SNP,skipped,3,4
469,Con,LD,SNP,skipped,3,4
470,Con,LD,SNP,skipped,3,4
471,Con,LD,SNP,skipped,3,4
472,Con,LD,SNP,skipped,3,4
473,Con,LD,SNP,skipped,3,4
474,Con,LD,SNP,skipped,3,4
475,Con,LD,SNP,skipped,3,4
476,Con,LD,SNP,skipped,3,4
477,Con,LD,SNP,skipped,3,4
478,Con,LD,SNP,skipped,3,4
479,Con,LD,SNP,skipped,3,4
480,Con,LD,SNP,skipped,3,4
481,Con,LD,SNP,skipped,3,4
482,Con,LD,SNP,skipped,3,4
483,Con,LD,SNP,skipped,3,4
484,Con,LD,SNP,Lab,3,4
