file,candidate_removed,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/Alaska/Alaska_11082022_HouseDistrict34.csv,Write-in,"['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']"
/Alaska/Alaska_11082022_HouseDistrict34.csv,"DeMars, Nate","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']"
/Alaska/Alaska_11082022_HouseDistrict34.csv,"Tomaszewski, Frank J.","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']","['Hopkins, Grier H.']"
/Alaska/Alaska_11082022_HouseDistrict20.csv,Write-in,"['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
/Alaska/Alaska_11082022_HouseDistrict20.csv,"Gray, Andrew T.","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']","['Bauer, Paul A.']"
/Alaska/Alaska_11082022_HouseDistrict20.csv,"Bauer, Paul A.","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
/Alaska/Alaska_11082022_HouseDistrict20.csv,"Kohlhaas, Scott A.","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
/Alaska/Alaska_11082022_HouseDistrict20.csv,"Harary, Jordan I.","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
/Alaska/Alaska_11082022_HouseDistrict21.csv,"Mears, Donna C.","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']","['Wolfe, Forrest M.']"
/Alaska/Alaska_11082022_HouseDistrict21.csv,Write-in,"['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']"
