Cast Vote Record,Precinct,Ballot Style,Num cands,Num seats,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
643,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
644,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
646,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
647,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
648,Portland Absentee,Ballot Style 2,11,1,"Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped
649,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped
650,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
651,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Bailey, William M.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.",skipped
652,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped
653,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
654,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
655,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
656,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
657,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","Rovelto, Hope R.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped
658,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped
659,Portland Absentee,Ballot Style 4,11,1,"Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","DiMillo, Steven A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Bailey, William M.",skipped
660,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped
661,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
662,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
663,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
664,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
665,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Rovelto, Hope R.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A."
666,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Buxton, Catherine A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
667,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
668,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Condrey, Lawson T.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
669,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
670,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
671,Portland Absentee,Ballot Style 1,11,1,"Bailey, William M.","Grant, Benjamin K.","Washburn, Patricia J.","Condrey, Lawson T.","Emerson, Anthony M.","Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped
672,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","DiMillo, Steven A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped
673,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.","Houseal, Ian P.","Chann, Marpheen S.","Washburn, Patricia J.","DiMillo, Steven A.","Bailey, William M.",skipped
674,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
675,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped
676,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Buxton, Catherine A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
677,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
678,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
679,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
680,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
682,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
683,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped
684,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
685,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Rovelto, Hope R.",skipped,skipped,skipped,skipped,skipped,skipped
686,Portland Absentee,Ballot Style 3,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.",skipped,skipped,skipped,skipped
687,Portland Absentee,Ballot Style 2,11,1,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Rovelto, Hope R.","Condrey, Lawson T.","Grant, Benjamin K.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M."
688,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
689,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.","Bailey, William M.","Houseal, Ian P.","Emerson, Anthony M.","Rovelto, Hope R.",skipped
690,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
691,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Houseal, Ian P.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Bailey, William M.",skipped
692,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
693,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
694,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
695,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
696,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
697,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
698,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
699,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Grant, Benjamin K.","Condrey, Lawson T.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.",skipped
700,Portland Absentee,Ballot Style 5,11,1,"Bailey, William M.","Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
701,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
702,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.",skipped
703,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
704,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
706,Portland Absentee,Ballot Style 4,11,1,"Condrey, Lawson T.","Grant, Benjamin K.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped
707,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Condrey, Lawson T.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
708,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.","Rovelto, Hope R.",skipped,skipped,skipped,skipped,skipped,skipped
709,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Condrey, Lawson T.","Buxton, Catherine A.","Grant, Benjamin K.",skipped,skipped,skipped
710,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped
711,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.","Bailey, William M.","Buxton, Catherine A.","Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,skipped
712,Portland Absentee,Ballot Style 1,11,1,"Bailey, William M.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
713,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped
714,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
715,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped
716,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
717,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped
718,Portland Absentee,Ballot Style 5,11,1,"Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
719,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.",skipped
720,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Emerson, Anthony M.","Condrey, Lawson T.","Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.",skipped
721,Portland Absentee,Ballot Style 3,11,1,"Bailey, William M.","DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
722,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Condrey, Lawson T.","Buxton, Catherine A.","Bailey, William M.","Chann, Marpheen S.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J."
723,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Washburn, Patricia J.","Condrey, Lawson T.","Emerson, Anthony M.","Houseal, Ian P.","Rovelto, Hope R.","Bailey, William M.","DiMillo, Steven A."
724,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Washburn, Patricia J.","DiMillo, Steven A.","Buxton, Catherine A.","Emerson, Anthony M.","Bailey, William M.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.",skipped
725,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Houseal, Ian P.","Rovelto, Hope R.","Washburn, Patricia J.","Bailey, William M.","DiMillo, Steven A."
726,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
727,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.","Emerson, Anthony M.","Buxton, Catherine A.","Washburn, Patricia J.","Bailey, William M.","Condrey, Lawson T.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.",skipped
730,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
731,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
732,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
733,Portland Absentee,Ballot Style 2,11,1,"Houseal, Ian P.","Bailey, William M.","Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",skipped,skipped
734,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
735,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Houseal, Ian P.","Chann, Marpheen S.","Condrey, Lawson T.","Bailey, William M.","DiMillo, Steven A.",skipped
736,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
737,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.","Bailey, William M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped
738,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Bailey, William M.","Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","DiMillo, Steven A.",skipped
739,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Rovelto, Hope R.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A."
740,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A.","Rovelto, Hope R."
742,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Grant, Benjamin K.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.",skipped
743,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
744,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
745,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped
746,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
747,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
748,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
749,Portland Absentee,Ballot Style 5,11,1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
751,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Washburn, Patricia J.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped
752,Portland Absentee,Ballot Style 5,11,1,"Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
753,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
754,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
755,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Grant, Benjamin K.","Rovelto, Hope R.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A."
756,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
757,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.","Bailey, William M.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Houseal, Ian P.",skipped
758,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
759,Portland Absentee,Ballot Style 2,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
760,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
761,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
762,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
763,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
764,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
765,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Buxton, Catherine A.","Rovelto, Hope R.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
766,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Rovelto, Hope R.","DiMillo, Steven A.","Bailey, William M.",skipped
767,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
768,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.","Grant, Benjamin K.","Emerson, Anthony M.","Houseal, Ian P.","Condrey, Lawson T.",skipped,skipped,skipped
769,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped
770,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Bailey, William M.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
771,Portland Absentee,Ballot Style 3,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Bailey, William M.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P.",skipped
772,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
773,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
