voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
4022,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
4023,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
4024,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
4025,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
4026,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
4027,Serena Mary COWDY Scottish National Party (SNP),Anne Julia CAMPBELL Scottish Green Party,David FAIRWEATHER Independent,Lisa KEOGH Alba Party for independence,Rod FALCONER Scottish Liberal Democrats,Martin SHEPHERD Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
4028,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4029,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4030,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4031,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4032,Pamela RUDDY Scottish Labour Party,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,David FAIRWEATHER Independent,Lisa KEOGH Alba Party for independence,Anne Julia CAMPBELL Scottish Green Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),4
4033,Ian WREN Independent,Pamela RUDDY Scottish Labour Party,David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4034,Ian WREN Independent,Pamela RUDDY Scottish Labour Party,David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4035,David FAIRWEATHER Independent,Juliet VIVERS Scottish Conservative and Unionist,Pamela RUDDY Scottish Labour Party,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
4036,Rod FALCONER Scottish Liberal Democrats,David FAIRWEATHER Independent,Juliet VIVERS Scottish Conservative and Unionist,Martin SHEPHERD Scottish National Party (SNP),Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,Ian WREN Independent,Louise NICOL Scottish Conservative and Unionist,Serena Mary COWDY Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,4
4037,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Anne Julia CAMPBELL Scottish Green Party,Lisa KEOGH Alba Party for independence,Rod FALCONER Scottish Liberal Democrats,David FAIRWEATHER Independent,Louise NICOL Scottish Conservative and Unionist,Pamela RUDDY Scottish Labour Party,Juliet VIVERS Scottish Conservative and Unionist,Ian WREN Independent,4
4038,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4039,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4040,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4041,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4042,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4043,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4044,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4045,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
