filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
scotland_0.8-mention2,16,scotland,0.8,mention2,,,,,,,,,16,,,,,,1
scotland_0.4-mention2,0,scotland,0.4,mention2,,,,,,,,,,,,,,,
scotland_0.5-mention2,0,scotland,0.5,mention2,,,,,,,,,,,,,,,
scotland_0.9-mention2,20,scotland,0.9,mention2,2,,,1,,,,,19,,,,,2,1
scotland_0.6-borda2,1,scotland,0.6,borda2,,,,,,,,,1,,,,,,
scotland_0.7-borda2,1,scotland,0.7,borda2,,,,,,,,,1,,,,,,
scotland_0.1-borda2,0,scotland,0.1,borda2,,,,,,,,,,,,,,,
scotland_0.2-borda2,0,scotland,0.2,borda2,,,,,,,,,,,,,,,
scotland_0.3-borda2,0,scotland,0.3,borda2,,,,,,,,,,,,,,,
scotland_0.8-borda2,5,scotland,0.8,borda2,,,,,,2,,,2,,,,,,1
scotland_0.4-borda2,0,scotland,0.4,borda2,,,,,,,,,,,,,,,
scotland_0.5-borda2,0,scotland,0.5,borda2,,,,,,,,,,,,,,,
scotland_0.9-borda2,10,scotland,0.9,borda2,,,,,,2,,,6,,,,,,2
