,filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
172,scotland_0.7-mention_scores_no_bottom_third,35,scotland,0.7,mention_scores_no_bottom_third,,,,,,10.0,,,28.0,,,,28.0,,3.0
161,scotland_0.9-mention_scores,40,scotland,0.9,mention_scores,2.0,,,1.0,,22.0,,,19.0,,,2.0,19.0,2.0,1.0
59,america_0.8-borda_scores_no_bottom_third,42,america,0.8,borda_scores_no_bottom_third,1.0,,,,,41.0,,,2.0,,,1.0,2.0,,1.0
124,australia_0.8-mention_scores_no_bottom_third,48,australia,0.8,mention_scores_no_bottom_third,,,,40.0,,10.0,,,,,,,,,
8,civs_0.3-borda_scores,51,civs,0.3,borda_scores,,51.0,,,,,,,,,,,,,
26,civs_0.3-borda_scores_no_bottom_third,52,civs,0.3,borda_scores_no_bottom_third,,52.0,,,,,,,,,,,,,
115,australia_0.8-borda_scores_no_bottom_third,54,australia,0.8,borda_scores_no_bottom_third,,,,44.0,,15.0,,,,,,,,,
3,civs_0.4-borda_scores,76,civs,0.4,borda_scores,,76.0,,,,,,,,,,,,,
67,america_0.9-mention_scores_no_bottom_third,80,america,0.9,mention_scores_no_bottom_third,2.0,,,5.0,,74.0,,,10.0,,,2.0,10.0,,2.0
123,australia_0.9-mention_scores_no_bottom_third,80,australia,0.9,mention_scores_no_bottom_third,5.0,5.0,1.0,58.0,1.0,36.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0
21,civs_0.4-borda_scores_no_bottom_third,88,civs,0.4,borda_scores_no_bottom_third,,88.0,,,,,,,,,,,,,
114,australia_0.9-borda_scores_no_bottom_third,88,australia,0.9,borda_scores_no_bottom_third,2.0,3.0,,66.0,,44.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,7.0,2.0
58,america_0.9-borda_scores_no_bottom_third,90,america,0.9,borda_scores_no_bottom_third,2.0,,,2.0,,84.0,,,7.0,,,2.0,7.0,1.0,3.0
6,civs_0.5-borda_scores,126,civs,0.5,borda_scores,,126.0,,,,,,,,,,,,,
9,civs_0.1-mention_scores,144,civs,0.1,mention_scores,26.0,105.0,55.0,57.0,54.0,61.0,40.0,47.0,26.0,46.0,47.0,43.0,44.0,38.0,24.0
24,civs_0.5-borda_scores_no_bottom_third,162,civs,0.5,borda_scores_no_bottom_third,,162.0,,,,,,,,,,,,,
