Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,Andy J. Marte,Lutchi Gayot,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,Lutchi Gayot,Andy J. Marte,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,skipped,skipped,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 060,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 031,DEM ABS Ballot Style 31,2021P3V1_ABS,Andy J. Marte,Jennifer Gutierrez,Lutchi Gayot,Scott Murphy,writein,5,1
AD: 53 ED: 031,DEM ABS Ballot Style 31,2021P3V1_ABS,Scott Murphy,Jennifer Gutierrez,Andy J. Marte,Lutchi Gayot,skipped,5,1
AD: 53 ED: 031,DEM ABS Ballot Style 31,2021P3V1_ABS,Andy J. Marte,Jennifer Gutierrez,Scott Murphy,Lutchi Gayot,skipped,5,1
AD: 53 ED: 030,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,Andy J. Marte,skipped,skipped,5,1
AD: 53 ED: 030,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,Lutchi Gayot,skipped,skipped,5,1
AD: 53 ED: 030,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Andy J. Marte,Scott Murphy,skipped,skipped,5,1
AD: 53 ED: 030,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Andy J. Marte,skipped,skipped,skipped,5,1
AD: 53 ED: 030,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 030,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 019,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 019,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 019,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,skipped,skipped,skipped,5,1
AD: 53 ED: 019,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Andy J. Marte,Scott Murphy,skipped,skipped,5,1
