rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,5,14,29,29,29,29,11,11,29,16,29,3,29,29,29,4,29,29,29,10,Skipped,2,29,29,1,29,29,29,,
29,6,29,29,29,29,11,10,29,29,29,29,29,8,9,7,29,29,29,29,1,29,5,29,2,4,29,29,3,,
26,13,16,6,22,29,29,24,27,8,29,25,29,14,9,4,7,29,23,19,28,17,1,29,2,5,12,18,3,,
15,7,11,6,Skipped,Skipped,Skipped,Skipped,Skipped,14,4,9,Skipped,Skipped,16,8,Skipped,12,Skipped,Skipped,Skipped,1,10,Skipped,5,2,16,3,14,,
26,15,6,23,28,29,21,17,27,22,4,16,13,12,3,8,9,1,7,2,25,20,19,2,14,10,18,24,11,,
29,29,29,29,7,29,29,13,29,3,29,29,29,12,10,8,6,29,29,9,29,29,2,29,1,4,11,29,5,,
28,15,9,5,16,22,24,12,26,29,4,27,23,8,6,13,10,19,18,21,17,20,3,14,1,2,25,11,7,,
29,29,4,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,29,29,29,1,29,29,29,29,29,,
29,5,29,29,29,29,29,29,29,29,29,29,29,29,8,4,6,29,29,29,29,29,7,29,1,2,29,29,3,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,9,29,5,29,8,29,29,6,29,4,7,29,1,29,29,10,29,29,12,29,29,11,29,3,2,29,29,13,,
29,11,21,10,16,17,15,8,26,12,20,18,23,13,6,5,9,27,14,19,7,28,4,25,2,1,22,24,3,,
17,24,18,2,10,11,15,14,20,27,6,5,3,23,4,29,28,12,19,9,8,7,21,16,22,1,25,13,26,,
19,17,22,6,18,20,Skipped,15,13,5,8,23,11,Skipped,7,3,12,16,10,Skipped,9,Skipped,2,Skipped,1,14,21,24,4,,
22,8,15,13,12,25,28,16,6,7,16,23,13,9,10,3,11,26,14,17,18,20,2,24,1,4,21,19,5,,
21,8,11,9,16,20,28,18,22,12,15,26,23,10,7,5,6,27,17,25,19,13,2,29,1,4,14,24,3,,
