rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,numSeats,numCands
71,71,27,71,71,71,71,71,71,8,71,71,71,71,71,13,71,71,71,71,71,71,71,41,71,28,29,71,71,71,71,71,71,41,38,71,71,71,5,71,71,71,17,71,71,4,71,1,71,71,33,7,34,16,26,71,2,47,71,25,71,30,71,3,7,71,71,71,71,6,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,10,71,33,71,71,71,71,71,71,6,18,71,71,20,71,70,71,4,71,71,3,9,71,71,71,71,71,71,71,24,48,71,1,2,14,71,60,71,71,71,71,8,17,71,71,71,71,71,7,12,71,71,71,10,71,71,71,19,71,32,71,37,4,8,2,71,5,69,15,71,,
71,71,71,70,71,71,61,71,71,71,5,71,71,71,14,71,71,71,16,71,9,8,10,20,71,71,71,71,15,71,8,65,71,9,1,71,71,71,71,55,71,71,71,71,71,60,71,30,71,71,71,62,71,11,71,71,71,71,71,71,53,60,71,3,60,20,71,27,10,65,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,4,71,71,71,71,71,71,7,71,71,71,2,71,71,71,71,11,71,9,5,1,71,8,71,71,71,71,71,14,71,3,71,6,71,71,71,71,71,12,71,10,71,71,71,71,71,13,71,71,71,71,71,71,71,15,71,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,9,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,11,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,16,15,Skipped,13,Skipped,3,Skipped,8,Skipped,,
30,71,32,71,37,48,41,71,24,2,12,34,71,39,47,16,48,15,71,71,22,71,6,1,71,44,20,33,71,27,45,31,71,9,8,14,71,71,40,7,71,71,13,29,25,3,29,5,44,21,17,49,50,4,71,18,26,48,46,71,36,35,11,28,23,38,48,10,43,19,48,,
2,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,2,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,,
71,12,19,71,18,71,71,71,71,71,20,71,71,71,71,15,71,71,71,71,71,71,3,71,71,71,71,71,71,71,13,71,71,16,9,14,71,71,71,8,71,71,4,71,71,5,71,71,71,71,1,71,10,71,71,71,71,71,71,71,71,71,17,71,71,6,71,11,2,7,71,,
71,71,24,71,71,10,71,71,26,35,71,71,71,71,53,71,68,5,38,65,7,71,71,34,71,71,6,71,71,71,42,71,71,1,15,71,71,71,71,71,71,71,44,71,71,3,71,12,71,71,71,52,71,4,71,71,71,54,71,71,71,71,71,71,69,30,71,2,71,11,71,,
30,44,57,50,37,58,26,71,36,18,8,48,42,53,39,7,71,71,71,31,49,51,6,18,52,54,23,71,71,41,27,40,56,2,19,4,71,20,55,3,25,71,13,12,29,1,28,5,33,47,32,14,10,11,59,24,15,46,45,71,21,71,34,22,38,9,71,17,35,16,43,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,14,17,71,12,71,71,9,71,71,71,71,8,71,11,14,71,71,5,71,71,71,71,13,71,1,7,71,71,71,71,71,71,71,4,71,71,14,71,10,71,71,3,71,71,71,71,71,15,71,71,16,71,71,2,15,18,15,71,71,71,6,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
1,71,71,71,71,71,71,71,71,71,71,71,71,1,71,7,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,1,71,1,71,71,71,71,8,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,18,71,71,71,71,71,71,71,11,71,71,71,71,71,71,71,71,71,71,15,7,71,71,71,71,71,71,71,71,71,71,4,3,5,71,71,71,71,71,71,1,9,71,2,71,71,71,71,6,71,71,8,71,71,17,71,71,16,71,71,71,13,71,71,71,10,12,14,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
61,55,10,56,25,26,41,49,62,21,13,57,69,32,43,52,20,34,48,63,11,58,15,19,50,54,36,28,45,22,39,40,68,3,4,30,37,38,46,42,31,70,2,29,53,16,60,7,67,64,18,51,47,14,65,24,9,33,24,35,59,1,12,8,44,5,66,6,71,27,23,,
45,55,62,49,15,50,3,30,19,17,51,14,37,20,38,10,12,67,47,27,53,65,56,34,54,42,68,57,64,48,31,69,41,58,1,22,11,6,16,32,40,33,4,21,9,5,26,2,43,36,71,29,18,35,39,33,25,23,60,59,52,8,66,46,28,61,63,24,70,44,7,,
18,47,33,17,71,43,36,71,46,19,7,55,63,31,58,26,50,53,22,45,20,25,5,6,71,37,23,29,56,60,71,71,40,2,4,16,71,27,49,52,28,71,24,8,42,51,44,1,35,61,9,57,41,12,62,32,38,30,34,71,21,15,14,3,54,48,46,10,39,11,13,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,8,71,71,71,71,71,71,71,71,71,8,71,71,71,71,2,71,71,71,71,71,71,71,6,71,71,9,71,4,71,71,71,71,5,6,71,71,71,71,71,8,71,71,71,3,6,1,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
30,26,71,71,22,71,33,71,71,14,18,71,71,71,71,8,71,17,71,20,10,71,9,14,16,71,7,23,27,71,71,19,71,15,2,12,71,35,71,71,71,71,4,71,71,3,71,1,32,71,24,71,28,13,71,11,71,29,71,71,21,34,6,71,25,5,71,71,71,31,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,7,71,71,71,71,71,71,3,71,71,71,71,71,71,4,71,71,71,71,71,71,71,71,71,6,71,71,5,71,71,71,71,9,71,71,8,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,,
10,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,7,Skipped,18,20,20,14,Skipped,20,12,14,16,17,13,20,20,Skipped,20,Skipped,Skipped,Skipped,16,9,20,3,6,20,Skipped,19,Skipped,20,Skipped,20,5,11,20,15,20,20,20,Skipped,20,Skipped,20,7,Skipped,10,Skipped,Skipped,Skipped,20,Skipped,Skipped,1,15,13,1,Skipped,10,20,4,20,,
51,42,21,42,57,Skipped,58,26,Skipped,28,17,Skipped,Skipped,56,33,45,39,30,25,34,29,27,22,1,Skipped,Skipped,32,49,53,41,24,9,20,16,4,14,37,31,23,Skipped,47,50,12,35,Skipped,44,54,1,Skipped,Skipped,38,36,40,6,48,13,50,19,55,9,15,46,7,3,5,Skipped,Skipped,11,18,8,Skipped,,
71,71,71,71,71,71,71,71,71,9,71,71,71,71,71,71,71,71,71,71,11,71,71,8,71,71,71,71,71,71,71,71,71,2,5,71,71,71,71,71,71,71,3,71,71,71,71,4,71,71,71,71,71,71,71,71,71,71,71,71,71,71,10,7,71,71,71,71,71,1,71,,
Skipped,Skipped,19,25,Skipped,Skipped,Skipped,Skipped,Skipped,5,18,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,22,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,17,8,Skipped,Skipped,Skipped,28,Skipped,Skipped,6,11,Skipped,7,Skipped,1,Skipped,Skipped,3,9,26,10,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,21,13,Skipped,23,24,16,27,12,20,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,6,8,71,71,71,1,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,9,71,71,71,71,71,71,71,71,71,4,11,71,71,71,71,71,2,71,71,71,71,71,5,71,10,7,71,71,,
26,16,13,24,25,71,71,71,71,40,12,37,71,32,71,29,71,35,10,71,43,23,71,71,71,21,17,20,71,71,71,71,71,1,30,71,71,71,31,9,38,33,4,28,71,71,71,22,27,36,2,9,5,19,14,7,3,71,18,71,11,71,71,6,41,71,71,15,71,71,39,,
39,Skipped,Skipped,23,60,Skipped,22,Skipped,15,35,9,44,Skipped,Skipped,23,38,Skipped,66,Skipped,16,13,Skipped,12,8,Skipped,Skipped,5,Skipped,Skipped,34,25,Skipped,Skipped,7,4,19,Skipped,23,Skipped,38,30,Skipped,10,1,6,11,Skipped,3,20,Skipped,17,10,31,5,38,Skipped,Skipped,32,10,Skipped,28,Skipped,5,71,Skipped,18,Skipped,12,Skipped,13,Skipped,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,52,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
Skipped,10,14,19,15,Skipped,13,20,Skipped,9,1,6,Skipped,4,10,Skipped,Skipped,8,1,9,2,10,2,35,Skipped,18,10,19,Skipped,13,17,12,20,1,1,1,Skipped,3,25,6,Skipped,Skipped,2,1,13,7,Skipped,5,Skipped,8,3,11,4,1,21,3,8,17,14,25,Skipped,16,4,1,12,1,Skipped,3,11,2,15,,
71,71,71,71,71,71,1,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,13,71,9,71,2,71,71,71,71,71,71,71,71,71,71,5,71,71,1,71,71,71,71,71,71,10,71,71,71,71,71,71,71,71,71,71,71,71,71,71,11,71,71,71,71,71,4,12,71,71,71,71,3,71,71,71,6,7,71,71,71,71,71,71,8,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
19,Skipped,Skipped,27,Skipped,Skipped,29,Skipped,Skipped,15,10,Skipped,26,Skipped,25,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,14,28,Skipped,21,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,8,1,Skipped,9,Skipped,Skipped,Skipped,Skipped,2,11,Skipped,17,Skipped,6,Skipped,Skipped,Skipped,12,30,23,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,5,18,Skipped,7,Skipped,13,24,22,Skipped,,
7,71,71,71,71,71,71,71,71,71,12,71,71,9,71,71,15,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,71,4,1,5,71,14,71,71,10,71,71,3,71,71,71,8,71,71,4,71,71,13,71,71,71,71,71,71,71,71,71,71,71,71,71,11,71,71,6,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,13,18,71,71,2,10,71,71,16,71,71,9,12,3,71,71,71,6,71,71,17,71,71,8,71,15,71,71,5,7,71,3,71,71,71,71,71,71,71,14,11,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,11,15,71,71,71,71,71,71,21,71,71,22,71,16,71,71,71,71,71,71,71,71,7,71,2,26,71,71,17,71,71,71,71,16,71,71,3,71,1,71,71,71,22,71,71,71,71,71,71,71,71,28,71,5,10,71,4,71,25,71,12,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,5,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,4,71,2,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,3,71,71,,
32,71,46,39,71,71,71,7,71,28,9,71,71,71,71,44,4,71,6,5,43,71,4,27,71,71,42,71,71,4,5,8,71,3,1,2,3,3,25,71,71,2,40,26,45,41,71,1,71,71,71,71,71,1,71,30,71,71,71,4,71,24,29,2,4,71,71,1,31,2,3,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,71,71,1,2,8,71,71,71,71,71,71,10,71,71,7,71,9,71,71,71,71,71,5,71,71,71,71,71,71,71,12,71,11,71,11,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,4,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,,
13,42,55,40,23,43,38,44,22,33,4,62,25,54,32,11,59,34,50,12,2,41,1,35,47,52,7,61,56,46,26,24,45,14,9,21,63,21,60,18,48,57,3,4,10,17,29,10,31,49,18,23,22,10,39,20,19,51,28,27,16,37,5,8,36,4,58,15,30,11,53,,
3,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,6,71,71,71,4,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,5,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,1,5,71,71,71,71,71,71,71,10,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,6,71,8,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,6,71,71,71,71,11,71,71,71,71,71,71,71,71,71,71,71,10,4,71,71,71,71,1,71,71,71,71,9,71,71,71,71,71,71,71,71,71,71,71,3,71,2,71,71,71,71,71,7,71,71,71,5,8,71,71,71,71,71,71,71,,
11,45,9,71,71,71,13,71,71,40,18,71,32,24,36,34,71,31,71,29,5,71,26,21,71,42,16,39,71,71,71,71,71,1,4,7,71,30,33,71,71,71,2,6,40,15,25,3,27,71,23,71,71,8,71,38,35,71,39,41,71,28,12,17,20,14,71,19,37,10,22,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,5,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,16,Skipped,19,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,1,9,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,8,Skipped,13,Skipped,10,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,7,4,Skipped,5,Skipped,12,Skipped,14,Skipped,,
71,71,71,71,71,71,71,71,71,71,71,71,71,11,71,71,71,71,71,71,71,71,71,71,71,71,8,71,71,8,71,71,71,2,9,2,71,71,71,71,71,71,71,71,71,71,71,4,71,71,1,71,71,4,12,71,5,71,71,13,71,71,71,10,71,71,71,4,71,4,71,,
71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
25,71,16,71,71,71,5,71,71,25,71,71,71,71,71,10,71,71,71,71,71,71,6,25,71,25,71,16,71,71,71,71,71,11,3,1,71,71,16,71,71,71,8,16,16,2,16,9,25,71,4,71,71,13,71,71,71,71,12,71,71,25,12,16,71,71,71,7,71,25,25,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
16,71,71,71,71,71,71,71,71,17,71,71,71,71,71,71,71,22,71,71,71,71,13,18,71,71,15,71,71,71,71,71,71,1,11,7,71,21,Skipped,71,12,71,5,2,71,71,71,11,71,71,4,10,71,9,71,14,71,71,71,71,71,71,23,19,71,8,71,6,71,3,20,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
19,71,25,71,71,71,71,71,71,10,13,71,71,14,71,71,71,71,71,71,71,71,71,11,71,15,71,71,71,71,71,71,71,2,16,4,71,71,71,71,71,71,1,17,71,71,71,3,71,71,14,7,21,12,71,71,8,71,71,71,71,30,71,18,71,6,71,5,71,9,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,,
18,70,15,70,70,70,29,70,70,12,31,70,70,6,70,24,21,70,70,71,70,70,20,8,70,25,10,33,70,37,70,70,70,2,23,11,70,35,27,70,13,70,3,19,70,7,36,1,70,70,17,4,70,14,70,70,22,70,30,70,32,5,33,26,70,70,70,28,70,16,9,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
11,60,44,50,61,34,28,63,18,19,15,45,32,56,67,10,53,70,46,22,58,16,12,21,59,52,23,39,56,65,17,71,35,1,3,9,66,33,43,31,42,55,2,4,14,26,40,20,36,51,6,65,41,27,62,57,64,47,30,54,25,37,8,5,48,7,49,13,29,24,38,,
71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,71,71,71,71,10,4,71,71,1,71,71,11,71,71,71,71,9,5,71,6,71,71,71,71,7,71,71,71,71,2,71,71,71,71,71,71,71,71,8,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,11,71,71,71,71,71,9,10,71,71,71,60,1,18,63,71,71,71,71,31,7,51,71,71,71,71,71,17,71,71,16,2,5,71,34,71,41,71,71,26,3,71,21,71,6,71,71,71,71,71,39,68,48,46,15,71,71,71,8,71,4,71,71,71,13,20,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,26,71,71,71,71,71,71,16,5,71,71,15,31,34,27,21,71,71,20,71,4,2,71,71,25,30,71,38,71,71,71,11,9,13,71,24,33,71,35,71,6,32,37,3,71,1,71,71,10,12,71,7,71,71,71,18,28,71,71,29,14,8,36,23,71,19,71,22,17,,
8,44,33,Skipped,36,Skipped,39,51,Skipped,16,16,52,45,38,49,8,Skipped,Skipped,Skipped,27,Skipped,Skipped,8,16,Skipped,29,1,Skipped,Skipped,42,Skipped,43,Skipped,3,29,3,Skipped,12,33,40,48,37,2,21,40,8,21,3,29,Skipped,21,3,29,21,45,21,16,Skipped,Skipped,50,21,35,12,27,Skipped,14,Skipped,14,45,3,16,,
71,27,31,28,71,71,71,71,71,14,3,71,71,71,19,8,71,71,18,71,37,71,9,13,71,71,11,71,71,71,38,30,38,10,1,4,71,71,71,17,71,71,12,34,71,6,71,5,71,71,71,71,15,20,71,71,71,71,71,71,16,32,48,7,71,34,71,2,33,40,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,6,71,1,71,71,71,4,71,71,71,71,71,71,71,71,8,71,71,71,71,71,71,5,71,71,2,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,7,71,71,71,71,10,11,9,71,,
71,71,21,40,71,71,42,71,71,9,14,71,71,71,18,71,71,4,71,39,7,71,16,2,71,71,24,25,71,71,22,33,71,41,10,5,71,71,71,31,71,71,6,26,71,3,36,1,71,71,23,30,29,13,71,17,35,8,71,37,38,32,15,12,28,20,43,27,19,11,34,,
15,56,30,42,60,33,25,67,23,38,7,29,48,62,55,39,50,35,49,55,13,37,66,12,61,25,14,17,53,71,36,65,45,27,16,21,64,51,9,63,47,61,34,8,10,5,40,18,20,52,69,54,4,2,70,43,32,57,68,59,31,22,6,11,44,1,41,3,19,26,28,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
Skipped,11,11,Skipped,Skipped,9,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,9,Skipped,9,Skipped,Skipped,Skipped,Skipped,6,Skipped,3,2,Skipped,Skipped,6,10,Skipped,Skipped,Skipped,9,Skipped,1,4,9,Skipped,9,Skipped,9,Skipped,Skipped,2,3,11,2,Skipped,1,Skipped,Skipped,6,6,8,1,Skipped,Skipped,5,11,Skipped,11,Skipped,Skipped,9,5,9,4,Skipped,3,10,7,11,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,9,71,71,71,71,6,13,15,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,7,71,71,71,3,71,71,71,10,71,71,12,71,71,71,71,71,71,71,71,71,71,71,5,4,8,71,71,71,71,11,71,,
71,71,11,71,71,71,71,71,71,7,71,71,71,71,71,71,71,71,71,71,7,71,71,7,71,71,71,71,71,71,71,71,71,1,10,71,71,71,71,71,71,71,3,3,71,71,71,4,71,71,1,5,71,71,71,71,8,71,71,71,71,71,71,6,71,9,71,71,71,5,71,,
