rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
15,17,5,23,6,12,19,22,14,24,7,2,3,16,21,11,4,20,1,13,18,8,9,10,25,,
16,24,1,9,9,24,24,18,24,9,12,14,2,20,3,9,9,24,6,19,13,17,4,6,15,,
5,9,25,6,10,25,25,25,25,8,3,25,25,25,25,25,1,25,2,25,7,25,25,25,4,,
25,8,10,25,3,25,25,5,25,11,25,25,25,6,25,25,4,25,2,1,25,25,7,9,12,,
5,20,12,16,13,24,25,22,18,8,17,1,3,15,9,23,2,10,6,14,11,19,7,21,4,,
25,25,25,2,25,25,25,25,25,25,25,5,25,25,25,25,6,25,25,25,25,4,3,1,25,,
18,25,14,19,21,22,20,15,10,24,9,23,2,13,6,5,12,7,8,16,17,11,1,4,3,,
25,25,25,25,25,25,25,5,25,25,25,25,3,25,25,6,25,25,25,7,25,25,2,1,4,,
7,25,13,7,12,9,7,25,25,25,25,25,8,11,25,25,7,25,7,7,7,25,10,25,25,,
25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,4,25,3,,
25,3,4,2,5,25,25,25,25,25,25,25,6,25,25,25,8,25,25,25,25,1,9,25,7,,
25,25,25,10,25,25,8,25,15,3,25,25,14,9,11,4,12,2,1,7,25,25,5,13,6,,
25,25,25,25,25,25,3,25,25,25,25,1,25,25,25,25,25,25,25,2,25,25,4,25,2,,
13,25,2,11,10,25,15,25,25,25,9,25,7,5,1,4,8,25,12,25,25,25,3,14,6,,
25,25,25,11,1,13,5,8,13,10,25,25,3,12,14,4,25,25,9,25,14,6,7,15,2,,
17,15,16,20,24,18,19,3,1,6,13,4,12,21,14,9,25,22,11,7,23,10,5,8,2,,
12,25,9,25,9,25,1,12,25,12,25,1,12,6,25,9,5,12,12,1,25,6,12,6,1,,
1,24,24,25,1,24,24,7,24,24,24,24,24,24,24,24,6,24,24,24,4,24,24,24,6,,
25,25,2,25,25,25,25,25,25,25,25,25,3,25,1,25,5,25,25,25,25,25,4,25,25,,
22,20,9,18,8,10,17,3,21,16,15,13,7,23,25,2,11,5,1,4,24,19,12,14,6,,
7,21,13,8,11,23,15,17,16,12,19,14,6,25,19,4,3,20,5,9,24,22,1,10,2,,
24,24,24,24,24,24,24,1,1,1,24,24,1,24,24,24,25,24,24,24,24,24,1,24,24,,
25,25,25,25,25,25,4,25,25,25,25,25,25,1,25,25,25,25,25,25,25,3,25,25,2,,
5,6,8,4,3,8,8,4,8,4,4,5,3,8,8,3,1,8,2,4,8,6,1,2,1,,
22,22,22,22,22,24,22,4,22,22,22,22,5,25,1,23,22,22,22,22,22,22,3,22,2,,
25,25,25,25,25,25,25,8,25,6,25,25,2,25,25,25,1,25,7,25,25,25,5,4,3,,
25,25,25,4,25,25,10,7,25,25,11,1,25,25,25,5,9,25,8,3,25,25,6,25,2,,
24,24,24,12,10,24,5,12,10,12,12,1,13,2,24,5,1,25,2,3,16,20,2,16,21,,
25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,25,25,25,25,1,25,25,25,,
23,6,2,7,8,21,12,5,20,18,4,24,11,19,1,25,9,13,14,17,16,22,10,15,3,,
25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,,
5,22,5,25,5,5,5,1,5,5,24,5,5,5,5,5,5,5,3,5,5,5,4,5,2,,
25,9,25,25,15,10,5,25,13,14,25,12,2,6,25,8,25,16,4,25,13,7,3,1,15,,
24,1,2,2,24,24,24,2,24,25,24,24,25,25,24,24,2,24,2,2,2,24,24,25,2,,
9,11,22,8,25,22,22,22,22,5,22,24,2,22,22,22,23,1,7,6,22,4,3,22,10,,
25,25,25,25,25,25,25,4,25,25,25,25,3,25,25,25,25,1,25,2,25,25,25,25,25,,
25,1,25,4,25,8,25,25,25,25,25,7,25,25,25,6,25,25,5,25,25,2,3,25,9,,
25,3,6,25,25,25,25,25,25,25,25,25,4,25,25,25,25,25,1,25,25,5,25,2,25,,
25,17,10,4,5,25,25,14,11,25,25,18,7,13,12,3,8,25,6,15,9,25,2,16,1,,
25,25,3,25,25,25,25,25,25,25,25,25,6,25,25,25,25,25,5,2,25,25,1,25,4,,
9,25,25,25,8,25,25,25,25,25,1,2,25,25,25,3,5,25,6,7,25,4,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,25,25,1,25,25,25,3,,
8,20,22,2,3,11,24,14,18,21,12,19,6,9,25,15,17,10,7,23,13,16,4,1,5,,
11,22,9,4,20,25,24,13,21,2,8,22,10,18,23,19,3,16,1,12,6,15,5,17,7,,
25,25,25,25,1,2,25,4,25,25,25,25,25,25,25,25,3,6,25,25,25,25,25,25,5,,
25,22,20,14,11,5,7,4,13,17,12,23,2,18,24,8,16,21,6,10,20,9,3,1,15,,
25,25,12,1,11,25,25,16,13,5,25,10,2,17,6,8,14,25,3,15,25,25,4,7,9,,
25,5,25,9,11,25,25,25,25,25,7,10,1,25,25,25,2,25,8,4,25,3,6,25,25,,
25,25,10,9,25,25,25,1,25,5,25,25,25,6,25,25,4,11,7,25,8,25,25,2,3,,
25,20,23,11,8,5,9,18,17,19,7,14,12,22,24,13,6,3,10,21,15,16,4,1,2,,
10,24,24,24,24,24,24,11,24,24,5,4,10,24,10,24,25,6,3,1,24,24,7,2,24,,
25,25,5,25,25,25,3,25,25,25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,,
