rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,numSeats,numCands
Skipped,Skipped,13,15,25,Skipped,Skipped,Skipped,Skipped,22,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,21,24,Skipped,23,Skipped,2,Skipped,Skipped,Skipped,Skipped,27,32,10,Skipped,Skipped,Skipped,6,Skipped,18,Skipped,11,Skipped,Skipped,Skipped,31,17,1,3,9,20,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,29,Skipped,12,Skipped,26,Skipped,Skipped,Skipped,Skipped,7,Skipped,28,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,4,Skipped,19,Skipped,30,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,80,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,19,1,3,6,Skipped,2,Skipped,Skipped,84,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,12,Skipped,Skipped,9,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,82,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,45,Skipped,,
85,85,85,85,85,85,85,85,85,85,3,85,85,85,85,85,6,85,85,85,85,85,5,85,9,85,85,85,85,85,85,85,85,4,85,85,85,3,85,85,85,85,85,2,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,4,85,85,85,2,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1,85,85,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,9,Skipped,1,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,7,Skipped,3,Skipped,Skipped,,
24,Skipped,Skipped,Skipped,Skipped,Skipped,34,32,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,30,8,Skipped,31,Skipped,Skipped,Skipped,13,19,15,Skipped,Skipped,Skipped,28,Skipped,5,36,Skipped,4,29,Skipped,Skipped,2,Skipped,Skipped,Skipped,33,Skipped,1,7,Skipped,27,Skipped,23,Skipped,Skipped,25,17,Skipped,11,Skipped,Skipped,26,22,37,12,Skipped,Skipped,6,Skipped,Skipped,14,3,Skipped,Skipped,21,Skipped,20,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,18,16,Skipped,35,Skipped,,
7,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,22,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,23,Skipped,4,Skipped,Skipped,19,8,Skipped,Skipped,Skipped,15,Skipped,2,16,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,10,Skipped,Skipped,1,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,13,6,Skipped,Skipped,Skipped,20,Skipped,3,17,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,40,7,Skipped,50,Skipped,Skipped,Skipped,4,Skipped,13,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,6,8,18,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,28,20,45,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,13,12,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,17,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,Skipped,14,9,11,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,4,19,Skipped,,
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,3,85,85,85,85,85,85,85,85,85,85,85,85,85,4,85,85,85,85,85,85,2,85,85,85,85,85,1,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2,85,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,9,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,Skipped,Skipped,Skipped,Skipped,3,11,Skipped,,
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,10,85,85,85,85,12,85,85,85,85,85,85,85,5,3,85,85,85,85,85,1,11,4,85,85,85,85,85,85,85,85,85,85,85,9,85,85,6,85,85,85,85,85,85,2,85,85,85,85,85,85,85,7,8,85,85,85,85,85,85,85,85,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,11,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,14,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,6,10,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13,?,18,?,?,7,17,1,?,?,?,?,?,?,8,?,?,15,?,?,12,6,2,?,?,11,?,14,?,?,?,?,3,?,?,?,?,?,?,?,?,10,?,?,?,?,?,16,5,?,?,?,?,?,?,?,?,?,?,?,4,?,?,9,?,?,?,?,?,?,,
