ballotID,ward,rank1,rank2,numSeats,numCands
1088,200,Cindy Dyballa,skipped,1,2
1090,200,Cindy Dyballa,skipped,1,2
1097,200,Cindy Dyballa,skipped,1,2
1137,200,Cindy Dyballa,skipped,1,2
1148,200,Cindy Dyballa,skipped,1,2
1150,200,Cindy Dyballa,skipped,1,2
1156,200,Cindy Dyballa,skipped,1,2
1157,200,Cindy Dyballa,skipped,1,2
1158,200,Cindy Dyballa,skipped,1,2
1165,200,Cindy Dyballa,skipped,1,2
1178,200,Cindy Dyballa,skipped,1,2
1179,200,Cindy Dyballa,skipped,1,2
1198,200,Cindy Dyballa,skipped,1,2
1199,200,Cindy Dyballa,skipped,1,2
1203,200,Cindy Dyballa,skipped,1,2
1209,200,Cindy Dyballa,skipped,1,2
1210,200,Cindy Dyballa,skipped,1,2
1211,200,Cindy Dyballa,skipped,1,2
1215,200,Cindy Dyballa,skipped,1,2
1222,200,Cindy Dyballa,skipped,1,2
1233,200,Cindy Dyballa,skipped,1,2
1249,200,Cindy Dyballa,skipped,1,2
1265,200,Cindy Dyballa,skipped,1,2
1267,200,Cindy Dyballa,skipped,1,2
1268,200,Cindy Dyballa,skipped,1,2
1308,200,Cindy Dyballa,skipped,1,2
1321,200,Cindy Dyballa,skipped,1,2
1340,200,Cindy Dyballa,skipped,1,2
1341,200,Cindy Dyballa,skipped,1,2
1342,200,Cindy Dyballa,skipped,1,2
1348,200,Cindy Dyballa,skipped,1,2
1349,200,Cindy Dyballa,skipped,1,2
1361,200,Cindy Dyballa,skipped,1,2
1362,200,Cindy Dyballa,skipped,1,2
1372,200,Cindy Dyballa,skipped,1,2
1385,200,Cindy Dyballa,skipped,1,2
1386,200,Cindy Dyballa,skipped,1,2
1387,200,Cindy Dyballa,skipped,1,2
1389,200,Cindy Dyballa,skipped,1,2
1394,200,Cindy Dyballa,skipped,1,2
1396,200,Cindy Dyballa,skipped,1,2
1403,200,Cindy Dyballa,skipped,1,2
1411,200,Cindy Dyballa,skipped,1,2
1414,200,Cindy Dyballa,skipped,1,2
1415,200,Cindy Dyballa,skipped,1,2
1423,200,Cindy Dyballa,skipped,1,2
1424,200,Cindy Dyballa,skipped,1,2
1434,200,Cindy Dyballa,skipped,1,2
1437,200,Cindy Dyballa,skipped,1,2
1439,200,Cindy Dyballa,skipped,1,2
1442,200,Cindy Dyballa,skipped,1,2
1451,200,Cindy Dyballa,skipped,1,2
1455,200,Cindy Dyballa,skipped,1,2
1466,200,Cindy Dyballa,skipped,1,2
1483,200,Cindy Dyballa,skipped,1,2
1489,200,Cindy Dyballa,skipped,1,2
1496,200,Cindy Dyballa,skipped,1,2
1505,200,Cindy Dyballa,skipped,1,2
1508,200,Cindy Dyballa,skipped,1,2
1514,200,Cindy Dyballa,skipped,1,2
1529,200,Cindy Dyballa,skipped,1,2
1531,200,Cindy Dyballa,skipped,1,2
1537,200,Cindy Dyballa,skipped,1,2
1548,200,Cindy Dyballa,skipped,1,2
1552,200,Cindy Dyballa,skipped,1,2
1553,200,Cindy Dyballa,skipped,1,2
1556,200,Cindy Dyballa,skipped,1,2
1569,200,Cindy Dyballa,skipped,1,2
1577,200,Cindy Dyballa,skipped,1,2
1592,200,Cindy Dyballa,skipped,1,2
1595,200,Cindy Dyballa,skipped,1,2
1596,200,Cindy Dyballa,skipped,1,2
1598,200,Cindy Dyballa,skipped,1,2
1602,200,Cindy Dyballa,skipped,1,2
1605,200,Cindy Dyballa,skipped,1,2
1608,200,Cindy Dyballa,skipped,1,2
1609,200,Cindy Dyballa,skipped,1,2
1622,200,Cindy Dyballa,skipped,1,2
1624,200,Cindy Dyballa,skipped,1,2
1625,200,Cindy Dyballa,skipped,1,2
1626,200,Cindy Dyballa,skipped,1,2
1627,200,Cindy Dyballa,skipped,1,2
1635,200,Cindy Dyballa,skipped,1,2
1636,200,Cindy Dyballa,skipped,1,2
1638,200,Cindy Dyballa,skipped,1,2
1648,200,Cindy Dyballa,skipped,1,2
1665,200,Cindy Dyballa,skipped,1,2
1667,200,Cindy Dyballa,skipped,1,2
1676,200,Cindy Dyballa,skipped,1,2
1682,200,Cindy Dyballa,skipped,1,2
1683,200,Cindy Dyballa,skipped,1,2
1686,200,Cindy Dyballa,skipped,1,2
1687,200,Cindy Dyballa,skipped,1,2
