Cast Vote Record,Precinct,Ballot Style,numCands,numSeats,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
2191,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.",skipped,skipped,skipped,1,11
2192,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Emerson, Anthony M.","Houseal, Ian P.","Washburn, Patricia J.",skipped,1,11
2193,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
2194,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2195,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Houseal, Ian P.","Condrey, Lawson T.",skipped,1,11
2196,Portland Absentee,Ballot Style 2,11,1,"Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Chann, Marpheen S.","Bailey, William M.","DiMillo, Steven A.","Grant, Benjamin K.",1,11
2197,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","DiMillo, Steven A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2198,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
2199,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2200,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Grant, Benjamin K.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.",skipped,1,11
2201,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
2202,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
2203,Portland Absentee,Ballot Style 3,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
2204,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
2205,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Grant, Benjamin K.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.",1,11
2206,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2208,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2209,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,1,11
2210,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Emerson, Anthony M.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Chann, Marpheen S.","Bailey, William M.",1,11
2211,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
2212,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",skipped,1,11
2213,Portland Absentee,Ballot Style 2,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
2214,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2215,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Grant, Benjamin K.","Buxton, Catherine A.","Houseal, Ian P.",skipped,1,11
2216,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,1,11
2218,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
2220,Portland Absentee,Ballot Style 5,11,1,"Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
2221,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,1,11
2222,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,1,11
2223,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",1,11
2224,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2225,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,1,11
2226,Portland Absentee,Ballot Style 4,11,1,"Condrey, Lawson T.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2227,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Houseal, Ian P.","Bailey, William M.",1,11
2228,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Condrey, Lawson T.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,1,11
2229,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.",1,11
2230,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Houseal, Ian P.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,1,11
2231,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Houseal, Ian P.","Emerson, Anthony M.","Bailey, William M.",1,11
2232,Portland Absentee,Ballot Style 3,11,1,"Emerson, Anthony M.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Houseal, Ian P.","Washburn, Patricia J.","Grant, Benjamin K.","Bailey, William M.",1,11
2233,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2234,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,1,11
2235,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
2236,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,1,11
2237,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
2238,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
2239,Portland Absentee,Ballot Style 3,11,1,"Condrey, Lawson T.","Houseal, Ian P.","Buxton, Catherine A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
2240,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
2241,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,1,11
2242,Portland Absentee,Ballot Style 2,11,1,"Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
2243,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,1,11
2244,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
2245,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
2246,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.",skipped,skipped,skipped,1,11
2247,Portland Absentee,Ballot Style 1,11,1,"Houseal, Ian P.","Grant, Benjamin K.","Chann, Marpheen S.","Bailey, William M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
2248,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,1,11
2249,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2250,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
2251,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Rovelto, Hope R.","Grant, Benjamin K.","Washburn, Patricia J.","Condrey, Lawson T.",skipped,skipped,skipped,1,11
2252,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
2253,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.","Houseal, Ian P.","Emerson, Anthony M.","DiMillo, Steven A.","Condrey, Lawson T.",1,11
2254,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Houseal, Ian P.","Buxton, Catherine A.","Emerson, Anthony M.","Bailey, William M.",1,11
2255,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,1,11
2256,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Emerson, Anthony M.","Rovelto, Hope R.","Washburn, Patricia J.","Grant, Benjamin K.","Houseal, Ian P.",1,11
2257,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2258,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2259,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2260,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
2261,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,1,11
2262,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2263,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2264,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.","Houseal, Ian P.","Grant, Benjamin K.","Condrey, Lawson T.","DiMillo, Steven A.","Chann, Marpheen S.",1,11
2265,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,1,11
2267,Portland Absentee,Ballot Style 4,11,1,"Houseal, Ian P.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Bailey, William M.","Washburn, Patricia J.","Chann, Marpheen S.",1,11
2268,Portland Absentee,Ballot Style 1,11,1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,1,11
2269,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
2270,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,1,11
2271,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2272,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2273,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2274,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.","Condrey, Lawson T.",skipped,skipped,skipped,1,11
2275,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,1,11
2276,Portland Absentee,Ballot Style 2,11,1,"Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,1,11
2277,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.",skipped,1,11
2279,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
2281,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2282,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
2283,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","Buxton, Catherine A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,1,11
2284,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,1,11
2285,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,1,11
2286,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.",skipped,skipped,skipped,1,11
2287,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Condrey, Lawson T.","Buxton, Catherine A.",skipped,skipped,skipped,1,11
2288,Portland Absentee,Ballot Style 1,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.",1,11
2289,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2290,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
2291,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2292,Portland Absentee,Ballot Style 5,11,1,"Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,1,11
2293,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,1,11
2294,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
2295,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,1,11
2296,Portland Absentee,Ballot Style 2,11,1,"Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.","Grant, Benjamin K.","Chann, Marpheen S.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",skipped,skipped,1,11
2297,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2298,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Houseal, Ian P.","DiMillo, Steven A.","Washburn, Patricia J.",skipped,skipped,skipped,1,11
2299,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
2300,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Grant, Benjamin K.","Emerson, Anthony M.",skipped,skipped,1,11
2301,Portland Absentee,Ballot Style 5,11,1,"Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",skipped,skipped,1,11
2302,Portland Absentee,Ballot Style 5,11,1,"Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
2303,Portland Absentee,Ballot Style 2,11,1,"Emerson, Anthony M.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Washburn, Patricia J.",skipped,skipped,1,11
2304,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Washburn, Patricia J.","Grant, Benjamin K.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,1,11
2305,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
2306,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Bailey, William M.",skipped,skipped,skipped,1,11
2307,Portland Absentee,Ballot Style 1,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
2308,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
2310,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",1,11
2311,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Grant, Benjamin K.",skipped,skipped,skipped,1,11
2313,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2314,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Chann, Marpheen S.",skipped,1,11
2315,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Bailey, William M.","Houseal, Ian P.",1,11
2316,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Houseal, Ian P.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",1,11
2317,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Condrey, Lawson T.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,1,11
2318,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,1,11
2319,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
2320,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Washburn, Patricia J.","Grant, Benjamin K.",skipped,skipped,skipped,1,11
2321,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Bailey, William M.","Chann, Marpheen S.","Emerson, Anthony M.","DiMillo, Steven A.","Washburn, Patricia J.",1,11
2322,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
2323,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
2324,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Rovelto, Hope R.",skipped,skipped,skipped,skipped,1,11
2325,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
