voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
56,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Jamie DYER (Ind),Elaine GALLAGHER Elect a (Grn) Councillor,Sam GLASGOW-JACKSON Scottish (LD),Tariq PARVEZ Scottish (Con) and Unionist,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Kamran BUTT (Alba) Party for independence,4,10
57,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
58,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
59,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
60,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
61,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
62,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
63,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
64,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
65,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
66,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
67,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,4,10
68,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,4,10
69,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,4,10
70,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,4,10
71,Kamran BUTT (Alba) Party for independence,Sam GLASGOW-JACKSON Scottish (LD),Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),Jamie DYER (Ind),Elaine GALLAGHER Elect a (Grn) Councillor,Tariq PARVEZ Scottish (Con) and Unionist,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,4,10
72,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
73,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
74,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
75,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
76,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
77,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
78,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
79,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
80,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
81,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
82,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
83,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
84,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
85,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
86,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
87,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
88,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
89,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
90,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
91,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
92,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
93,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
94,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
95,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
96,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
97,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
98,Elaine GALLAGHER Elect a (Grn) Councillor,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
