voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
373,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
374,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
375,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
376,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
377,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
378,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
379,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
380,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
381,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
382,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
