voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
608,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Cameron WHITTLE Independent,4
609,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
610,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
611,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
612,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
613,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
614,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
615,Ivan TAYLOR Independent,Leslie MANSON Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,Cameron WHITTLE Independent,4
616,Leslie MANSON Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Cameron WHITTLE Independent,Ivan TAYLOR Independent,4
617,Sandy COWIE Independent,Beverly CLUBLEY Independent,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Barbara FOULKES Independent,4
618,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
619,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
620,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
621,Barbara FOULKES Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,4
622,Cameron WHITTLE Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,skipped,4
623,Beverly CLUBLEY Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
624,Beverly CLUBLEY Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
625,Beverly CLUBLEY Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
626,Beverly CLUBLEY Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,Cameron WHITTLE Independent,4
627,Leslie MANSON Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,4
628,Leslie MANSON Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,4
629,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Leslie MANSON Independent,Cameron WHITTLE Independent,skipped,skipped,skipped,4
630,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,4
631,Leslie SINCLAIR Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,4
632,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Leslie MANSON Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Cameron WHITTLE Independent,4
633,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
634,Leslie MANSON Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
635,Leslie MANSON Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
636,Leslie MANSON Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
637,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,4
638,Kristopher LEASK Scottish Greens,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
639,Kristopher LEASK Scottish Greens,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
640,Sandy COWIE Independent,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
641,Sandy COWIE Independent,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
642,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
643,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
644,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
645,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
646,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
