Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 084,,2021P4V1_ELE2,James F. Reilly,writein,Alex Amoroso,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,writein,James F. Reilly,Alex Amoroso,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 24 ED: 084,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 023,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,writein,skipped,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,writein,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,writein,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 084,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,writein,skipped,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 084,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,writein,James F. Reilly,Alex Amoroso,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 084,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 021,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,writein,1,3
AD: 24 ED: 023,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 24 ED: 018,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 24 ED: 017,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 24 ED: 020,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 065,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 072,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 072,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 25 ED: 065,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 065,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,writein,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 022,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 065,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 072,,2021P4V1_ELE2,writein,Alex Amoroso,James F. Reilly,1,3
AD: 25 ED: 021,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 077,,2021P4V1_ELE2,writein,skipped,skipped,1,3
