Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,numSeats,numCands
"Eastpointe, Pct 9",82691,"Eastpointe, Pct 9",Tonia Gladney,Michael Jones,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 7",82692,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82693,"Eastpointe, Pct 9",Sylvia L. Moore,Tonia Gladney,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 8",82694,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 8",82695,"Eastpointe, Pct 8",Shenita Lloyd,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 7",82696,"Eastpointe, Pct 7",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 9",82697,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 6",82698,"Eastpointe, Pct 6",Sylvia L. Moore,Tonia Gladney,Shenita Lloyd,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 8",82699,"Eastpointe, Pct 8",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82700,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 9",82701,"Eastpointe, Pct 9",Rob Baker,Sylvia L. Moore,Cardi DeMonaco Jr.,Shenita Lloyd,2,6
"Eastpointe, Pct 7",82702,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 6",82703,"Eastpointe, Pct 6",Sylvia L. Moore,Cardi DeMonaco Jr.,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 7",82704,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Rob Baker,Shenita Lloyd,Tonia Gladney,2,6
"Eastpointe, Pct 7",82705,"Eastpointe, Pct 7",Rob Baker,Michael Jones,Shenita Lloyd,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 8",82706,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82707,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,skipped,2,6
"Eastpointe, Pct 6",82708,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 7",82709,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82710,"Eastpointe, Pct 7",Tonia Gladney,Rob Baker,Shenita Lloyd,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 8",82711,"Eastpointe, Pct 8",Tonia Gladney,Rob Baker,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 8",82712,"Eastpointe, Pct 8",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82713,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 10",82714,"Eastpointe, Pct 10",Sylvia L. Moore,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 9",82715,"Eastpointe, Pct 9",Sylvia L. Moore,Rob Baker,Cardi DeMonaco Jr.,skipped,2,6
"Eastpointe, Pct 9",82716,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 7",82717,"Eastpointe, Pct 7",Rob Baker,Tonia Gladney,Shenita Lloyd,Sylvia L. Moore,2,6
"Eastpointe, Pct 9",82718,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Tonia Gladney,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 9",82719,"Eastpointe, Pct 9",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82720,"Eastpointe, Pct 7",Rob Baker,Michael Jones,Shenita Lloyd,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 7",82721,"Eastpointe, Pct 7",Michael Jones,Shenita Lloyd,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 7",82722,"Eastpointe, Pct 7",Shenita Lloyd,Rob Baker,Michael Jones,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 8",82723,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,skipped,2,6
"Eastpointe, Pct 9",82725,"Eastpointe, Pct 9",Tonia Gladney,Shenita Lloyd,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 9",82726,"Eastpointe, Pct 9",Shenita Lloyd,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 10",82727,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 6",82728,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82729,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Michael Jones,Shenita Lloyd,skipped,2,6
"Eastpointe, Pct 8",82730,"Eastpointe, Pct 8",Rob Baker,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 8",82731,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82732,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,Tonia Gladney,skipped,2,6
"Eastpointe, Pct 6",82733,"Eastpointe, Pct 6",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 10",82734,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82735,"Eastpointe, Pct 9",Shenita Lloyd,Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 10",82736,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 7",82737,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 10",82738,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Rob Baker,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 8",82739,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 10",82740,"Eastpointe, Pct 10",Sylvia L. Moore,Tonia Gladney,skipped,skipped,2,6
"Eastpointe, Pct 8",82741,"Eastpointe, Pct 8",Sylvia L. Moore,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 8",82742,"Eastpointe, Pct 8",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 10",82743,"Eastpointe, Pct 10",Tonia Gladney,Sylvia L. Moore,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 6",82744,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Tonia Gladney,skipped,skipped,2,6
"Eastpointe, Pct 6",82745,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82746,"Eastpointe, Pct 9",Rob Baker,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 7",82747,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 7",82748,"Eastpointe, Pct 7",Michael Jones,Rob Baker,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 9",82749,"Eastpointe, Pct 9",Rob Baker,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 9",82750,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82751,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 6",82752,"Eastpointe, Pct 6",Shenita Lloyd,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82753,"Eastpointe, Pct 6",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 9",82754,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82755,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 7",82756,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,Rob Baker,2,6
"Eastpointe, Pct 6",82757,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Michael Jones,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 6",82758,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 10",82759,"Eastpointe, Pct 10",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82760,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82761,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 7",82762,"Eastpointe, Pct 7",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82763,"Eastpointe, Pct 6",Sylvia L. Moore,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 8",82764,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82765,"Eastpointe, Pct 8",Michael Jones,Rob Baker,Tonia Gladney,Shenita Lloyd,2,6
"Eastpointe, Pct 7",82766,"Eastpointe, Pct 7",Rob Baker,Tonia Gladney,Shenita Lloyd,Sylvia L. Moore,2,6
"Eastpointe, Pct 10",82767,"Eastpointe, Pct 10",Shenita Lloyd,Michael Jones,Rob Baker,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 6",82768,"Eastpointe, Pct 6",Rob Baker,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 8",82769,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,Shenita Lloyd,skipped,2,6
"Eastpointe, Pct 10",82770,"Eastpointe, Pct 10",Michael Jones,Shenita Lloyd,Tonia Gladney,Sylvia L. Moore,2,6
"Eastpointe, Pct 10",82771,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 9",82772,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82773,"Eastpointe, Pct 6",Rob Baker,Shenita Lloyd,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 7",82775,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 7",82776,"Eastpointe, Pct 7",Sylvia L. Moore,Shenita Lloyd,Cardi DeMonaco Jr.,Tonia Gladney,2,6
"Eastpointe, Pct 6",82777,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,skipped,2,6
"Eastpointe, Pct 10",82778,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 8",82779,"Eastpointe, Pct 8",Tonia Gladney,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82780,"Eastpointe, Pct 7",Shenita Lloyd,Sylvia L. Moore,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 7",82781,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82782,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 6",82783,"Eastpointe, Pct 6",Shenita Lloyd,Tonia Gladney,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 8",82784,"Eastpointe, Pct 8",Shenita Lloyd,Sylvia L. Moore,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 9",82785,"Eastpointe, Pct 9",Michael Jones,Shenita Lloyd,Cardi DeMonaco Jr.,Sylvia L. Moore,2,6
"Eastpointe, Pct 6",82786,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Tonia Gladney,skipped,skipped,2,6
"Eastpointe, Pct 8",82787,"Eastpointe, Pct 8",Sylvia L. Moore,Shenita Lloyd,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 10",82788,"Eastpointe, Pct 10",Michael Jones,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 7",82789,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 7",82790,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 8",82791,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82792,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 6",82793,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 9",82795,"Eastpointe, Pct 9",Michael Jones,Rob Baker,Cardi DeMonaco Jr.,Tonia Gladney,2,6
"Eastpointe, Pct 8",82796,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 7",82797,"Eastpointe, Pct 7",Rob Baker,Sylvia L. Moore,Tonia Gladney,Shenita Lloyd,2,6
"Eastpointe, Pct 7",82798,"Eastpointe, Pct 7",Sylvia L. Moore,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 6",82799,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Sylvia L. Moore,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 6",82800,"Eastpointe, Pct 6",Rob Baker,Michael Jones,Tonia Gladney,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 9",82801,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82802,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Shenita Lloyd,Tonia Gladney,skipped,2,6
"Eastpointe, Pct 9",82803,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 10",82804,"Eastpointe, Pct 10",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82805,"Eastpointe, Pct 9",Sylvia L. Moore,Shenita Lloyd,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 6",82806,"Eastpointe, Pct 6",Shenita Lloyd,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 6",82807,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82808,"Eastpointe, Pct 8",Sylvia L. Moore,Michael Jones,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 6",82809,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 10",82810,"Eastpointe, Pct 10",Rob Baker,Cardi DeMonaco Jr.,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 7",82811,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 9",82812,"Eastpointe, Pct 9",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82813,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 10",82814,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82815,"Eastpointe, Pct 9",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 7",82816,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Rob Baker,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 8",82817,"Eastpointe, Pct 8",Michael Jones,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 8",82818,"Eastpointe, Pct 8",Shenita Lloyd,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82819,"Eastpointe, Pct 8",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82820,"Eastpointe, Pct 9",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 8",82821,"Eastpointe, Pct 8",Rob Baker,Shenita Lloyd,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 8",82822,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 8",82823,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 6",82824,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Michael Jones,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 9",82825,"Eastpointe, Pct 9",Sylvia L. Moore,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82826,"Eastpointe, Pct 6",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 8",82827,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82828,"Eastpointe, Pct 7",Sylvia L. Moore,Cardi DeMonaco Jr.,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 9",82829,"Eastpointe, Pct 9",Tonia Gladney,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 6",82830,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Tonia Gladney,skipped,skipped,2,6
"Eastpointe, Pct 6",82831,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 7",82832,"Eastpointe, Pct 7",Sylvia L. Moore,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82833,"Eastpointe, Pct 8",Shenita Lloyd,Michael Jones,Rob Baker,skipped,2,6
"Eastpointe, Pct 9",82834,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,skipped,2,6
"Eastpointe, Pct 10",82835,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 6",82836,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82837,"Eastpointe, Pct 7",Sylvia L. Moore,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 7",82838,"Eastpointe, Pct 7",Shenita Lloyd,Sylvia L. Moore,Michael Jones,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 6",82839,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82840,"Eastpointe, Pct 8",Shenita Lloyd,Sylvia L. Moore,Tonia Gladney,skipped,2,6
"Eastpointe, Pct 6",82841,"Eastpointe, Pct 6",Rob Baker,Shenita Lloyd,Cardi DeMonaco Jr.,skipped,2,6
"Eastpointe, Pct 7",82842,"Eastpointe, Pct 7",Michael Jones,Shenita Lloyd,Tonia Gladney,Sylvia L. Moore,2,6
"Eastpointe, Pct 9",82843,"Eastpointe, Pct 9",Tonia Gladney,Shenita Lloyd,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 8",82844,"Eastpointe, Pct 8",Tonia Gladney,Cardi DeMonaco Jr.,Shenita Lloyd,skipped,2,6
"Eastpointe, Pct 9",82846,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,Rob Baker,2,6
"Eastpointe, Pct 8",82847,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 10",82848,"Eastpointe, Pct 10",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 10",82849,"Eastpointe, Pct 10",Shenita Lloyd,Michael Jones,Rob Baker,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 7",82850,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82851,"Eastpointe, Pct 8",Shenita Lloyd,Sylvia L. Moore,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 10",82852,"Eastpointe, Pct 10",Sylvia L. Moore,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 8",82853,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82854,"Eastpointe, Pct 8",Michael Jones,Shenita Lloyd,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 9",82855,"Eastpointe, Pct 9",Michael Jones,Shenita Lloyd,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 6",82856,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 9",82857,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 10",82858,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 6",82859,"Eastpointe, Pct 6",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 9",82860,"Eastpointe, Pct 9",Rob Baker,Tonia Gladney,Sylvia L. Moore,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 8",82861,"Eastpointe, Pct 8",Shenita Lloyd,Michael Jones,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 6",82862,"Eastpointe, Pct 6",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 6",82863,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 9",82864,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 6",82865,"Eastpointe, Pct 6",Michael Jones,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 8",82866,"Eastpointe, Pct 8",Sylvia L. Moore,Shenita Lloyd,Michael Jones,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 8",82867,"Eastpointe, Pct 8",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 9",82868,"Eastpointe, Pct 9",Rob Baker,Shenita Lloyd,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 8",82869,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Tonia Gladney,Michael Jones,Rob Baker,2,6
"Eastpointe, Pct 8",82870,"Eastpointe, Pct 8",Sylvia L. Moore,Shenita Lloyd,Cardi DeMonaco Jr.,skipped,2,6
"Eastpointe, Pct 10",82871,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82872,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82873,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Tonia Gladney,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 8",82874,"Eastpointe, Pct 8",Tonia Gladney,Michael Jones,Shenita Lloyd,Sylvia L. Moore,2,6
"Eastpointe, Pct 9",82875,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82876,"Eastpointe, Pct 8",Shenita Lloyd,Sylvia L. Moore,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 9",82877,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82878,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82879,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82880,"Eastpointe, Pct 8",Michael Jones,Cardi DeMonaco Jr.,Shenita Lloyd,Sylvia L. Moore,2,6
"Eastpointe, Pct 10",82881,"Eastpointe, Pct 10",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82882,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 7",82883,"Eastpointe, Pct 7",Shenita Lloyd,Sylvia L. Moore,Cardi DeMonaco Jr.,Tonia Gladney,2,6
"Eastpointe, Pct 7",82884,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 9",82885,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 9",82886,"Eastpointe, Pct 9",Tonia Gladney,Cardi DeMonaco Jr.,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 6",82887,"Eastpointe, Pct 6",Sylvia L. Moore,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 6",82888,"Eastpointe, Pct 6",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 10",82889,"Eastpointe, Pct 10",Shenita Lloyd,skipped,skipped,skipped,2,6
"Eastpointe, Pct 10",82890,"Eastpointe, Pct 10",Michael Jones,Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 8",82891,"Eastpointe, Pct 8",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 8",82892,"Eastpointe, Pct 8",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82893,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 9",82894,"Eastpointe, Pct 9",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 8",82895,"Eastpointe, Pct 8",Sylvia L. Moore,Cardi DeMonaco Jr.,Tonia Gladney,Shenita Lloyd,2,6
"Eastpointe, Pct 9",82896,"Eastpointe, Pct 9",Sylvia L. Moore,Cardi DeMonaco Jr.,Rob Baker,skipped,2,6
"Eastpointe, Pct 9",82897,"Eastpointe, Pct 9",Shenita Lloyd,skipped,skipped,skipped,2,6
"Eastpointe, Pct 7",82898,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 6",82899,"Eastpointe, Pct 6",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 7",82900,"Eastpointe, Pct 7",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
