voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4431,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4432,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4433,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4434,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4435,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4436,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4437,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4438,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4439,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4440,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4441,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4442,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4443,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4444,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4445,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4446,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4447,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4448,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4449,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4450,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4451,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4452,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4453,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4454,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4455,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4456,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
