voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
194,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
195,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
196,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
197,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
198,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
199,Lab,SNP,Lab,LD,SNP,(Ind) David Page HENDERSON,Con,Grn,NF,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,3,11
200,Lab,SNP,Lab,Con,SNP,LD,skipped,skipped,skipped,skipped,skipped,3,11
201,Lab,SNP,Lab,Grn,LD,Con,(Ind) David Page HENDERSON,SNP,skipped,skipped,skipped,3,11
202,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
203,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
204,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
205,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
206,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
207,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
208,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
209,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
210,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
211,Lab,SNP,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
212,Lab,SNP,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
213,Lab,SNP,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
214,Lab,SNP,Con,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
215,Lab,SNP,(Ind) David Page HENDERSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
216,Lab,SNP,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
217,Lab,SNP,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
218,Lab,SNP,Grn,Con,Lab,LD,SNP,(Ind) David Page HENDERSON,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,skipped,3,11
219,Lab,SNP,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
220,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
221,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
222,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
223,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
224,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
225,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
226,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
227,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
228,Lab,SNP,SNP,(Ind) Douglas James THOMSON,(Ind) David Page HENDERSON,skipped,skipped,skipped,skipped,skipped,skipped,3,11
229,Lab,SNP,SNP,LD,Con,Grn,(Ind) David Page HENDERSON,NF,(Ind) Douglas James THOMSON,(Ind) Archibald ROBERTSON,Lab,3,11
230,Lab,SNP,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
231,Lab,SNP,SNP,Lab,LD,Grn,skipped,skipped,skipped,skipped,skipped,3,11
232,Lab,SNP,SNP,Lab,Grn,(Ind) David Page HENDERSON,(Ind) Douglas James THOMSON,(Ind) Archibald ROBERTSON,LD,Con,NF,3,11
233,Lab,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
234,Lab,SNP,NF,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
235,Lab,SNP,NF,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
236,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
237,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
238,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
239,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
240,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
241,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
242,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
243,Lab,LD,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
244,Lab,LD,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
245,Lab,LD,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
246,Lab,LD,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
247,Lab,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
248,Lab,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
249,Lab,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
250,Lab,LD,SNP,Lab,Grn,SNP,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,(Ind) David Page HENDERSON,Con,NF,3,11
