voter_id,rank1,rank2,rank3,num_positions
373,Alistair Mason,Iain Taylor,Glen Reynolds,1
374,Alistair Mason,Iain Taylor,Glen Reynolds,1
375,Alistair Mason,Iain Taylor,Glen Reynolds,1
376,Alistair Mason,Iain Taylor,Glen Reynolds,1
377,Alistair Mason,Iain Taylor,Glen Reynolds,1
378,Alistair Mason,Iain Taylor,Glen Reynolds,1
379,Alistair Mason,Iain Taylor,Glen Reynolds,1
380,Alistair Mason,Iain Taylor,Glen Reynolds,1
381,Alistair Mason,Iain Taylor,Glen Reynolds,1
382,Alistair Mason,Iain Taylor,Glen Reynolds,1
383,Alistair Mason,Iain Taylor,Glen Reynolds,1
384,Alistair Mason,Iain Taylor,Glen Reynolds,1
385,Alistair Mason,Iain Taylor,Glen Reynolds,1
386,Alistair Mason,Iain Taylor,Glen Reynolds,1
387,Alistair Mason,Iain Taylor,Glen Reynolds,1
388,Alistair Mason,Iain Taylor,Glen Reynolds,1
389,Alistair Mason,Iain Taylor,Glen Reynolds,1
390,Alistair Mason,Iain Taylor,Glen Reynolds,1
391,Alistair Mason,Iain Taylor,Glen Reynolds,1
392,Alistair Mason,Iain Taylor,Glen Reynolds,1
393,Alistair Mason,Iain Taylor,Glen Reynolds,1
394,Alistair Mason,Iain Taylor,Glen Reynolds,1
395,Alistair Mason,Iain Taylor,Glen Reynolds,1
396,Alistair Mason,Iain Taylor,Glen Reynolds,1
397,Alistair Mason,Iain Taylor,Glen Reynolds,1
398,Alistair Mason,Iain Taylor,Glen Reynolds,1
399,Alistair Mason,Iain Taylor,Glen Reynolds,1
400,Alistair Mason,Iain Taylor,Glen Reynolds,1
401,Alistair Mason,Iain Taylor,Glen Reynolds,1
402,Alistair Mason,Iain Taylor,Glen Reynolds,1
403,Alistair Mason,Iain Taylor,Glen Reynolds,1
404,Alistair Mason,Iain Taylor,Glen Reynolds,1
405,Alistair Mason,Iain Taylor,Glen Reynolds,1
406,Alistair Mason,Iain Taylor,Glen Reynolds,1
407,Alistair Mason,Iain Taylor,Glen Reynolds,1
408,Alistair Mason,Iain Taylor,Glen Reynolds,1
409,Alistair Mason,Iain Taylor,Glen Reynolds,1
410,Alistair Mason,Iain Taylor,Glen Reynolds,1
411,Alistair Mason,Iain Taylor,Glen Reynolds,1
412,Alistair Mason,Iain Taylor,Glen Reynolds,1
413,Alistair Mason,Iain Taylor,Glen Reynolds,1
414,Alistair Mason,Iain Taylor,Glen Reynolds,1
415,Alistair Mason,Iain Taylor,Glen Reynolds,1
416,Alistair Mason,Iain Taylor,Glen Reynolds,1
417,Alistair Mason,Iain Taylor,Glen Reynolds,1
418,Alistair Mason,Iain Taylor,Glen Reynolds,1
419,Alistair Mason,Iain Taylor,Glen Reynolds,1
420,Alistair Mason,Iain Taylor,Glen Reynolds,1
421,Alistair Mason,Iain Taylor,Glen Reynolds,1
422,Alistair Mason,Iain Taylor,Glen Reynolds,1
423,Alistair Mason,Iain Taylor,Glen Reynolds,1
424,Alistair Mason,Iain Taylor,Glen Reynolds,1
425,Alistair Mason,Iain Taylor,Glen Reynolds,1
426,Alistair Mason,Iain Taylor,Glen Reynolds,1
427,Alistair Mason,Iain Taylor,Glen Reynolds,1
428,Alistair Mason,Iain Taylor,Glen Reynolds,1
429,Alistair Mason,Iain Taylor,Glen Reynolds,1
430,Alistair Mason,Iain Taylor,Glen Reynolds,1
431,Alistair Mason,Iain Taylor,Glen Reynolds,1
432,Alistair Mason,Iain Taylor,Glen Reynolds,1
433,Alistair Mason,Iain Taylor,Glen Reynolds,1
434,Alistair Mason,Iain Taylor,Glen Reynolds,1
435,Alistair Mason,Iain Taylor,Glen Reynolds,1
436,Alistair Mason,Iain Taylor,Glen Reynolds,1
437,Alistair Mason,Iain Taylor,Glen Reynolds,1
438,Alistair Mason,Iain Taylor,Glen Reynolds,1
439,Alistair Mason,Iain Taylor,Glen Reynolds,1
