voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,num_positions
6216,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6217,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6218,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6219,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6220,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6221,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6222,Eleanor COLLIER Scottish National Party (SNP),Todd FERGUSON Scottish Conservative and Unionist,Jane FRASER Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6223,Eleanor COLLIER Scottish National Party (SNP),Todd FERGUSON Scottish Conservative and Unionist,Jane FRASER Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6224,Ian MURDOCH Independent,Margaret MCLELLAN Scottish Liberal Democrats,Wendy LOW-THOMSON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6225,Ian MURDOCH Independent,Margaret MCLELLAN Scottish Liberal Democrats,Wendy LOW-THOMSON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6226,Ian MURDOCH Independent,Margaret MCLELLAN Scottish Liberal Democrats,Wendy LOW-THOMSON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6227,Ian MURDOCH Independent,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,David John NAIRN Scottish Green Party,Valerie REID Scottish Labour Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6228,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,Margaret MCLELLAN Scottish Liberal Democrats,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6229,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6230,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6231,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,David John NAIRN Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6232,Valerie REID Scottish Labour Party,Margaret MCLELLAN Scottish Liberal Democrats,David John NAIRN Scottish Green Party,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,Nick HOBSON Independence for Scotland Party,Jane FRASER Alba Party for independence,James MCDAID Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,5
6233,Eleanor COLLIER Scottish National Party (SNP),Jane FRASER Alba Party for independence,Alan HILL Scottish National Party (SNP),Wendy LOW-THOMSON Independent,James MCDAID Socialist Labour Party,Margaret MCLELLAN Scottish Liberal Democrats,Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,5
6234,Margaret MCLELLAN Scottish Liberal Democrats,Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,Ian MURDOCH Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6235,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,Jane FRASER Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6236,Nick HOBSON Independence for Scotland Party,Valerie REID Scottish Labour Party,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6237,Ian MURDOCH Independent,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6238,Ian MURDOCH Independent,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6239,Ian MURDOCH Independent,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6240,Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,Alan HILL Scottish National Party (SNP),Nick HOBSON Independence for Scotland Party,Wendy LOW-THOMSON Independent,Jane FRASER Alba Party for independence,Ian MURDOCH Independent,skipped,skipped,skipped,skipped,skipped,skipped,5
