voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4994,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
4995,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
4996,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
4997,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
4998,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
4999,Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,4
5000,Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,4
5001,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5002,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5003,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5004,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5005,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5006,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5007,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5008,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
5009,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,4
