voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1415,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1416,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1417,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1418,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1419,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1420,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1421,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1422,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1423,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1424,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1425,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1426,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1427,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1428,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,3
1429,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Ian ROBERTSON ,3
1430,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Ian ROBERTSON ,3
1431,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),skipped,skipped,skipped,3
1432,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),skipped,skipped,skipped,3
1433,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),skipped,skipped,skipped,3
1434,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1435,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1436,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1437,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1438,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1439,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1440,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1441,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1442,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1443,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1444,Julie Christina FORD Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Craig WALKER Scottish National Party (SNP),David CROLL Scottish Conservative and Unionist,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,3
1445,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
1446,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
1447,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
