voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
91,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
92,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
93,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
94,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
95,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
96,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
97,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
98,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
99,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
100,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
101,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
102,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,3
103,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,3
104,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,3
