voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
63,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
64,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
65,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
66,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
67,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
68,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
69,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
70,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Leanne TERVIT Alba Party for independence,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Malcolm MACAULAY Scottish Conservative and Unionist,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
71,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Leanne TERVIT Alba Party for independence,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Malcolm MACAULAY Scottish Conservative and Unionist,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
72,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,4
