file,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
Alaska/Alaska_11052024_US_House.csv,5,"['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']"
Alaska/Alaska_11082022_HouseDistrict13.csv,3,"['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']"
Alaska/Alaska_11082022_HouseDistrict12.csv,3,"['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']"
Minneapolis/Minneapolis_11072023_CityCouncilWard12.csv,4,['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury']
Minneapolis/Minneapolis_11072017_BoardofEstimateandTaxation.csv,4,['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker']
Minneapolis/Minneapolis_11072017_ParkBoardAtLarge.csv,11,['Meg Forney'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Meg Forney'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Meg Forney'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Meg Forney'],['Meg Forney'],['Latrisha Vetaw']
Minneapolis/Minneapolis_11072017_Ward6CityCouncil.csv,5,['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame']
Minneapolis/Minneapolis_11072017_Mayor.csv,19,['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey']
Minneapolis/Minneapolis_11062009_PRBoardDistrict6.csv,5,['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn']
Minneapolis/Minneapolis_11062009_Ward10CityCouncil.csv,5,['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill']
Minneapolis/Minneapolis_11072023_CityCouncilWard13.csv,5,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano']
Minneapolis/Minneapolis_11022021_BoardofEstimateandTaxationAtLarge.csv,5,['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt']
Minneapolis/Minneapolis_11072017_Ward1CityCouncil.csv,4,['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich']
Minneapolis/Minneapolis_11062009_PRBoardDistrict5.csv,6,['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer']
Minneapolis/Minneapolis_11062009_PRBoardDistrict4.csv,2,['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb']
Minneapolis/Minneapolis_11072017_Ward9CityCouncil.csv,5,['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano']
Minneapolis/Minneapolis_11072023_CityCouncilWard10.csv,5,['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai']
Minneapolis/Minneapolis_11062009_BoardofEstimateandTaxation.csv,7,['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker']
Minneapolis/Minneapolis_11072017_Ward8CityCouncil.csv,5,['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins']
Minneapolis/Minneapolis_11022021_Mayor.csv,19,['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey']
Minneapolis/Minneapolis_11062009_PRBoardDistrict1.csv,4,['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski']
Minneapolis/Minneapolis_11022021_ParkBoardAtLarge.csv,8,['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney']
Minneapolis/Minneapolis_11062009_Ward11CityCouncil.csv,4,['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy']
Minneapolis/Minneapolis_11052013_PRBoardDistrict6.csv,3,['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN']
Minneapolis/Minneapolis_11062009_PRBoardDistrict3.csv,3,['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland']
Minneapolis/Minneapolis_11062009_PRBoardDistrict2.csv,3,['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson']
Minneapolis/Minneapolis_11072017_Ward7CityCouncil.csv,5,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman']
Minneapolis/Minneapolis_11022021_CityCouncilWard4.csv,4,['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw']
Minneapolis/Minneapolis_11062009_Ward13CityCouncil.csv,4,['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges']
Minneapolis/Minneapolis_11072017_Ward5CityCouncil.csv,5,['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison']
Minneapolis/Minneapolis_11022021_CityCouncilWard10.csv,7,['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai']
Minneapolis/Minneapolis_11022021_CityCouncilWard12.csv,4,['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson']
Minneapolis/Minneapolis_11022021_CityCouncilWard7.csv,5,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman']
Minneapolis/Minneapolis_11022021_CityCouncilWard6.csv,3,['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman']
Minneapolis/Minneapolis_11072017_Ward2CityCouncil.csv,2,['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon']
Minneapolis/Minneapolis_11022021_CityCouncilWard13.csv,6,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano']
Minneapolis/Minneapolis_11072017_Ward3CityCouncil.csv,5,['Ginger Jentzen'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher']
Minneapolis/Minneapolis_11022021_CityCouncilWard2.csv,6,['Robin Wonsley Worlobah'],['Robin Wonsley Worlobah'],['Robin Wonsley Worlobah'],['Yusra Arab'],['Yusra Arab'],['Yusra Arab'],['Yusra Arab'],[],['Yusra Arab'],['Yusra Arab'],['Robin Wonsley Worlobah'],['Yusra Arab'],['Yusra Arab'],['Yusra Arab'],['Yusra Arab'],"['Robin Wonsley Worlobah', 'Yusra Arab', 'Cam Gordon']"
Minneapolis/Minneapolis_11022021_CityCouncilWard3.csv,5,['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville']
Minneapolis/Minneapolis_11072017_Ward4CityCouncil.csv,5,"['Barbara A. ""Barb"" Johnson']",['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham']
Minneapolis/Minneapolis_11022021_CityCouncilWard1.csv,5,['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne'],['Elliott Payne']
Minneapolis/Minneapolis_11052013_Mayor.csv,36,['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES']
Minneapolis/Minneapolis_11072023_CityCouncilWard8.csv,5,['Soren Stevenson'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins']
Minneapolis/Minneapolis_11062009_Ward12CityCouncil.csv,5,['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy']
Minneapolis/Minneapolis_11072023_CityCouncilWard5.csv,4,['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison']
Minneapolis/Minneapolis_11072017_PRBoardDistrict3.csv,4,['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan'],['AK Hassan']
Minneapolis/Minneapolis_11072017_PRBoardDistrict2.csv,3,['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson'],['Kale Severson']
Minneapolis/Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,13,['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman']
Minneapolis/Minneapolis_11072023_CityCouncilWard4.csv,5,['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw']
Minneapolis/Minneapolis_11062009_Ward7CityCouncil.csv,4,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman']
Minneapolis/Minneapolis_11052013_ParkRecBoardAtLarge.csv,11,['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN']
Minneapolis/Minneapolis_11072023_CityCouncilWard6.csv,5,['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman']
Minneapolis/Minneapolis_11062009_Ward8CityCouncil.csv,6,['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden']
Minneapolis/Minneapolis_11062009_Mayor.csv,12,['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak']
Minneapolis/Minneapolis_11072017_Ward12CityCouncil.csv,4,['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson']
Minneapolis/Minneapolis_11052013_Ward9CityCouncil.csv,7,['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO']
Minneapolis/Minneapolis_11072017_PRBoardDistrict1.csv,4,['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer'],['Chris Meyer']
Minneapolis/Minneapolis_11072023_CityCouncilWard7.csv,4,['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Katie Cashman'],['Scott Graham'],['Katie Cashman']
Minneapolis/Minneapolis_11072017_PRBoardDistrict5.csv,4,['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich']
Minneapolis/Minneapolis_11062009_Ward1CityCouncil.csv,6,['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich']
Minneapolis/Minneapolis_11062009_Ward9CityCouncil.csv,5,['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff'],['Gary Schiff']
Minneapolis/Minneapolis_11072017_PRBoardDistrict4.csv,3,['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Tom Nordyke'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill'],['Tom Nordyke'],['Jono Cowgill']
Minneapolis/Minneapolis_11062009_MinneapolisParkRecBoard.csv,9,['Bob Fine'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young'],['Annie Young']
Minneapolis/Minneapolis_11072017_Ward13CityCouncil.csv,3,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano']
Minneapolis/Minneapolis_11022021_CityCouncilWard8.csv,3,['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins']
Minneapolis/Minneapolis_11062009_Ward6CityCouncil.csv,7,['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren']
