,file,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,numCands,plurality,IRV,top-two,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
71,ee669dbb2d.csv,['2'],['2'],['2'],8,['7'],['2'],['7'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],"[""'""]",['1'],['2']
72,edc716bad5.csv,['1'],['20'],['20'],21,['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],"[""'""]",['1'],['20']
73,ed8e129b7e.csv,['1'],['1'],['1'],5,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
74,ed7debafd9.csv,['2'],"['2', '3']",['2'],6,['3'],['3'],['3'],['2'],['3'],['3'],['3'],['3'],['3'],['3'],"[""'""]","['5', '1', '2']",['3']
75,ed5e03ccd6.csv,['4'],['4'],['4'],5,['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],[']'],['4'],['4']
76,ed535944fd.csv,['2'],['2'],['2'],5,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],"[""'""]",['1'],['2']
77,ed1eb9a1b8.csv,['2'],['4'],['2'],6,['2'],['2'],['2'],['4'],[],"['2', '4']",['4'],['4'],"['2', '4']",['2'],['['],"['1', '2']","['2', '4']"
78,ecfb178de1.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],"[""'""]",['1'],['6']
79,ecc4d063e9.csv,['1'],['1'],['1'],6,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]","['5', '1']",['1']
80,ec061ecd7a.csv,['5'],['5'],['5'],8,['2'],['5'],['4'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['['],['1'],['5']
81,ebfee023e1.csv,['1'],['1'],['1'],6,['3'],['3'],['3'],['1'],[],['1'],['5'],['4'],['1'],['4'],['['],"['5', '1']","['5', '1', '3', '4']"
82,ebf56f0e01.csv,['1'],['1'],['1'],5,['1'],['1'],['1'],['1'],[],"['1', '2']",['2'],['2'],"['1', '2']",['1'],"[""'""]",['4'],"['1', '2']"
83,ebf05e562c.csv,['1'],['1'],['1'],9,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]",['1'],['1']
84,ebd6fb0103.csv,['3'],['3'],['3'],4,['2'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],[']'],['3'],['3']
85,e998bdc86b.csv,['8'],['8'],['8'],9,['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['['],['8'],['8']
86,e996afc872.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],[']'],['6'],['6']
87,e92f2146ca.csv,['1'],['1'],['1'],5,['3'],['1'],['2'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['1'],['1']
88,e8d83c9c40.csv,['3'],['3'],['3'],6,['5'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['['],['2'],['3']
89,e8d512194a.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['['],['1'],['6']
90,e7cdc35a3f.csv,['3'],['3'],['3'],4,['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],"[""'""]",['3'],['3']
91,e71c220e1a.csv,['2'],['2'],['2'],4,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['3'],['1'],['2']
92,e6a27e1b6c.csv,['21'],['21'],['21'],22,['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],"[""'""]",['21'],['21']
93,e67468a9e5.csv,['1'],['1'],['1'],12,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
94,e60612d935.csv,['1'],['1'],['1'],5,['2'],['1'],['1'],['1'],[],['1'],['2'],['1'],['1'],['1'],[']'],['1'],"['1', '2', '4', '3']"
95,e5bbab75a9.csv,['1'],['1'],['1'],5,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
96,e59384a31d.csv,['1'],['1'],['1'],9,['2'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"['""']",['8'],['1']
97,e547e35c81.csv,['12'],['12'],['12'],13,['12'],['12'],['12'],['12'],['12'],['12'],['12'],['12'],['12'],['12'],"[""'""]",['12'],['12']
98,e4d497e98f.csv,['18'],['18'],['18'],19,['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['['],['1'],['18']
99,e46e7e09dd.csv,['4'],['4'],['4'],7,['3'],['4'],['1'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],[']'],['6'],['4']
100,e4119ed4da.csv,['1'],['2'],['1'],6,['1'],['2'],['2'],['1'],['2'],['2'],['2'],['2'],['2'],['2'],['['],"['5', '1']",['2']
101,e3c163b05e.csv,['1'],['1'],['1'],13,['12'],['12'],['12'],['1'],['12'],['12'],['12'],['12'],['12'],['12'],"[""'""]",['12'],['12']
102,e3be7b1c4e.csv,['1'],['1'],['1'],7,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]","['1', '6']",['1']
103,e2fbed553e.csv,['15'],['15'],['15'],16,['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],[']'],['1'],['15']
104,e2c72e66f9.csv,['1'],['1'],['1'],6,['4'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]",['1'],['1']
105,e28ddc58a8.csv,['4'],['4'],['4'],9,['5'],['4'],['4'],['4'],[],['4'],['4'],['4'],['4'],['4'],"[""'""]",['1'],"['1', '2', '4', '3']"
106,e288e8cba2.csv,['2'],['2'],['2'],5,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],[']'],['4'],['2']
107,e275826dbd.csv,['1'],['4'],['1'],9,['8'],['1'],['8'],['1'],[],['1'],['8'],['1'],['1'],['8'],"[""'""]",['8'],"['2', '1', '8', '4']"
108,e26f1af928.csv,['4'],['4'],['4'],21,['6'],['5'],['5'],['5'],[],['4'],['6'],['5'],['4'],['4'],['['],['1'],"['5', '6', '4']"
109,e1ad8abb07.csv,['7'],['7'],['7'],8,['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['['],['7'],['7']
110,e1ad6f70f8.csv,['3'],['3'],['3'],4,['2'],['2'],['2'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['['],['3'],['3']
111,e165e30f16.csv,['21'],['21'],['21'],22,['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['2'],['21'],['21']
112,e00408fca8.csv,['1'],['1'],['1'],10,['1'],['1'],['2'],['1'],[],"['1', '2']",['1'],['2'],"['1', '2']",['1'],"['""']",['1'],"['1', '2']"
113,e002a74822.csv,['1'],['4'],['2'],20,['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['['],['1'],['19']
114,dfeb187823.csv,['7'],"['7', '4']",['7'],8,['7'],['7'],['7'],['7'],[],['4'],['7'],['4'],['4'],['4'],['['],['1'],"['7', '3', '4']"
115,dfe601fbd2.csv,['1'],['4'],['1'],17,['16'],['3'],['16'],['16'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['1'],['3']
116,dfb926481b.csv,['10'],['10'],['10'],17,['10'],['10'],['10'],['10'],[],['10'],['10'],['10'],['10'],['11'],"[""'""]",['1'],"['7', '15', '5', '3', '9', '16', '6', '8', '11', '2', '13', '14', '4', '10']"
117,df6e19d1bf.csv,['3'],['3'],['3'],4,['1'],['1'],['1'],['3'],[],"['1', '3']",['3'],['1'],"['1', '3']",['1'],"['""']","['1', '3']","['1', '3']"
118,de198586bb.csv,['1'],['2'],['1'],14,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"['""']",['1'],['1']
119,dd3a3b6636.csv,['29'],['29'],['29'],30,['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],[']'],['1'],['29']
