,file,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
37,Alaska/Alaska_11052024_StateHouseD3.csv,3,"['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']"
38,Alaska/Alaska_11052024_StateHouseD24.csv,3,"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']"
39,Alaska/Alaska_11052024_StateHouseD30.csv,4,"['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']"
40,Alaska/Alaska_11052024_StateHouseD18.csv,4,"['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']"
41,Alaska/Alaska_11082022_HouseDistrict2.csv,4,"['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']"
42,Alaska/Alaska_11082022_HouseDistrict3.csv,3,"['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']"
43,Alaska/Alaska_11052024_StateHouseD19.csv,5,"['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']"
44,Alaska/Alaska_11052024_StateHouseD31.csv,4,"['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']"
45,Alaska/Alaska_11052024_StateHouseD25.csv,3,"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']"
46,Alaska/Alaska_11052024_StateHouseD2.csv,3,"['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']"
