country,file_name,num_voters,num_cands,num_seats,no_skipped,one_skipped,two_skipped,three_skipped,write_in,truncated,other_skipped,bullet_vote
america,Minneapolis_11072017_Ward8CityCouncil.csv,7898,5,1,3418,2268,2212,0,1,1,0,2212
america,Minneapolis_11022021_Mayor.csv,143974,19,1,66858,38296,38820,0,1,1,0,38820
america,Minneapolis_11062009_PRBoardDistrict1.csv,5842,4,1,1356,634,3852,0,1,0,0,3852
america,Minneapolis_11022021_ParkBoardAtLarge.csv,106650,8,3.0,59589,16321,30740,0,1,1,0,30740
america,Minneapolis_11062009_Ward11CityCouncil.csv,4010,4,1,510,1633,1867,0,1,0,0,1867
america,Minneapolis_11052013_PRBoardDistrict6.csv,13739,3,1,285,6112,7342,0,1,0,0,7342
america,Minneapolis_11062009_PRBoardDistrict3.csv,4736,3,1,69,1211,3456,0,1,0,0,3456
america,Minneapolis_11062009_PRBoardDistrict2.csv,5100,3,1,94,1708,3298,0,1,0,0,3298
america,Minneapolis_11072017_Ward7CityCouncil.csv,9090,5,1,4067,2197,2826,0,1,1,0,2826
america,Minneapolis_11022021_CityCouncilWard4.csv,7261,4,1,2017,1831,3413,0,1,0,0,3413
america,Minneapolis_11062009_Ward13CityCouncil.csv,5981,4,1,1001,1553,3427,0,1,0,0,3427
america,Minneapolis_11072017_Ward5CityCouncil.csv,4216,5,1,2268,782,1166,0,1,1,0,1166
america,Minneapolis_11022021_CityCouncilWard10.csv,10659,7,1,5644,2898,2117,0,1,1,0,2117
america,Minneapolis_11022021_CityCouncilWard12.csv,15359,4,1,2732,3862,8765,0,1,0,0,8765
america,Minneapolis_11022021_CityCouncilWard7.csv,11655,5,1,3296,2292,6067,0,1,1,0,6067
america,Minneapolis_11022021_CityCouncilWard6.csv,6311,3,1,82,1610,4619,0,1,0,0,4619
america,Minneapolis_11072017_Ward2CityCouncil.csv,6090,2,1,0,156,5934,0,1,0,0,5934
america,Minneapolis_11022021_CityCouncilWard13.csv,16465,6,1,4186,4695,7584,0,1,1,0,7584
america,Minneapolis_11072017_Ward3CityCouncil.csv,9592,5,1,5198,2415,1979,0,1,1,0,1979
america,Minneapolis_11022021_CityCouncilWard2.csv,9527,6,1,4316,3000,2211,0,1,1,0,2211
america,Minneapolis_11022021_CityCouncilWard3.csv,13353,5,1,4242,3275,5836,0,1,1,0,5836
america,Minneapolis_11072017_Ward4CityCouncil.csv,5263,5,1,2545,1136,1582,0,1,1,0,1582
america,Minneapolis_11022021_CityCouncilWard1.csv,11438,5,1,3595,2546,5297,0,1,1,0,5297
america,Minneapolis_11052013_Mayor.csv,79415,36,1,58944,9427,11044,0,1,1,0,11044
america,Minneapolis_11072023_CityCouncilWard8.csv,8059,5,1,3905,2120,2034,0,1,1,0,2034
america,Minneapolis_11062009_Ward12CityCouncil.csv,4718,5,1,1224,1133,2361,0,1,1,0,2361
america,Minneapolis_11072023_CityCouncilWard5.csv,3185,4,1,1048,723,1414,0,1,0,0,1414
america,Minneapolis_11072017_PRBoardDistrict3.csv,14630,4,1,4349,2826,7455,0,1,0,0,7455
america,Minneapolis_11072017_PRBoardDistrict2.csv,8934,3,1,358,4295,4281,0,1,0,0,4281
america,Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,7746,13,1,3065,640,4041,0,1,1,0,4041
america,Minneapolis_11072023_CityCouncilWard4.csv,3426,5,1,823,1372,1231,0,1,1,0,1231
america,Minneapolis_11062009_Ward7CityCouncil.csv,4392,4,1,753,766,2873,0,1,0,0,2873
america,Minneapolis_11052013_ParkRecBoardAtLarge.csv,59463,11,3.0,35062,9181,15220,0,1,1,0,15220
america,Minneapolis_11072023_CityCouncilWard6.csv,5180,5,1,1047,673,3460,0,1,1,0,3460
america,Minneapolis_11062009_Ward8CityCouncil.csv,3096,6,1,938,896,1262,0,1,1,0,1262
america,Minneapolis_11062009_Mayor.csv,45157,12,1,14152,6769,24236,0,1,1,0,24236
america,Minneapolis_11072017_Ward12CityCouncil.csv,10184,4,1,2757,1188,6239,0,1,0,0,6239
america,Minneapolis_11052013_Ward9CityCouncil.csv,4179,7,1,2343,916,920,0,1,1,0,920
america,Minneapolis_11072017_PRBoardDistrict1.csv,14303,4,1,6020,2911,5372,0,1,0,0,5372
america,Minneapolis_11072023_CityCouncilWard7.csv,7988,4,1,3029,2072,2887,0,1,0,0,2887
america,Minneapolis_11072017_PRBoardDistrict5.csv,16238,4,1,6290,3459,6489,0,1,0,0,6489
america,Minneapolis_11062009_Ward1CityCouncil.csv,3969,6,1,1455,1045,1469,0,1,1,0,1469
america,Minneapolis_11062009_Ward9CityCouncil.csv,2995,5,1,958,955,1082,0,1,1,0,1082
america,Minneapolis_11072017_PRBoardDistrict4.csv,13513,3,1,411,5755,7347,0,1,0,0,7347
america,Minneapolis_11062009_MinneapolisParkRecBoard.csv,36655,9,3.0,19629,4745,12281,0,1,1,0,12281
america,Minneapolis_11072017_Ward13CityCouncil.csv,11315,3,1,241,2723,8351,0,1,0,0,8351
america,Minneapolis_11022021_CityCouncilWard8.csv,10648,3,1,105,961,9582,0,1,0,0,9582
america,Minneapolis_11062009_Ward6CityCouncil.csv,1930,7,1,930,329,671,0,1,1,0,671
america,Minneapolis_11072017_PRBoardDistrict6.csv,18488,5,1,5617,4456,8415,0,1,1,0,8415
america,Minneapolis_11022021_CityCouncilWard9.csv,6693,9,1,2463,1321,2909,0,1,1,0,2909
america,Minneapolis_11052013_Ward13CityCouncil.csv,10459,6,1,6464,2163,1832,0,1,1,0,1832
america,Minneapolis_11062009_Ward4CityCouncil.csv,3299,5,1,1250,633,1416,0,1,1,0,1416
america,Minneapolis_11052013_Ward5CityCouncil.csv,3499,5,1,1914,515,1070,0,1,1,0,1070
america,Minneapolis_11022021_ParkBoardDistrict3.csv,15254,4,1,3282,2222,9750,0,1,0,0,9750
america,Minneapolis_11062009_Ward3CityCouncil.csv,2222,5,1,641,519,1062,0,1,1,0,1062
america,Minneapolis_11022021_ParkBoardDistrict1.csv,14729,2,1,0,267,14462,0,1,0,0,14462
america,Minneapolis 2013-board of estimation and taxation cvr.csv,80097,6,2,20106,14487,14262,31242,1,1,0,14262
america,Minneapolis_11072017_Ward11CityCouncil.csv,9160,4,1,4789,2301,2070,0,1,0,0,2070
america,Minneapolis_11072017_Ward10CityCouncil.csv,7596,5,1,4001,1195,2400,0,1,1,0,2400
america,Minneapolis_11022021_ParkBoardDistrict4.csv,19346,3,1,388,5847,13111,0,1,0,0,13111
america,Minneapolis_11062009_Ward2CityCouncil.csv,2689,3,1,26,449,2214,0,1,0,0,2214
america,Minneapolis_11022021_ParkBoardDistrict5.csv,21990,4,1,5363,4660,11967,0,1,0,0,11967
america,Minneapolis_11062009_Ward5CityCouncil.csv,2170,6,1,981,361,828,0,1,1,0,828
america,Minneapolis_11022021_ParkBoardDistrict6.csv,24522,5,1,9899,5268,9355,0,1,1,0,9355
america,PierceCounty_11042008_CountyExecutiveMember.csv,299132,5,1,153183,54245,91704,0,1,1,0,91704
america,PierceCounty_11032009_CountyAuditor.csv,153528,4,1,80039,25004,48485,0,1,0,0,48485
america,PierceCounty_11042008_CountyAssessorTreasurer.csv,262447,7,1,150323,28864,83260,0,1,1,0,83260
america,PierceCounty_11042008_CountyCouncilDistrict2.csv,40000,4,1,17110,6800,16090,0,1,0,0,16090
america,Portland_D1_2024.csv,42871,17,3,16892,3869,4831,8350,0,1,8929,5857
america,Portland_D3_2024.csv,84515,31,3,41336,8188,9080,15889,0,1,10022,5850
america,Portland_D2_2024.csv,77157,23,3,37969,7194,8883,12924,0,1,10187,6061
america,PortlandOR_110524_Mayor.csv,310259,21,1.0,55601,24303,50441,81106,2,1,98808,46591
america,Portland_D4_2024.csv,76717,31,3,35494,7303,9694,15281,0,1,8945,5246
america,Portland_06142022_SchoolboardAL-1.csv,8864,7,2.0,1586,261,222,673,0,0,6122,716
america,Portland_06142022_Schoolboarddistrict5-1.csv,1949,5,1,384,51,248,552,0,0,714,714
america,Portland_06082021_charter_commission_at_large.csv,8747,11,1,1135,201,438,662,0,1,6311,717
america,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,2025,3,1,1441,226,358,0,0,0,0,358
america,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,2494,3,1,1833,237,424,0,0,0,0,424
america,Maine_11082022_CongressionalDistrict2.csv,316777,4,1,10360,73162,76302,156953,0,0,0,156953
america,Maine_11062018_CongressionalDistrict2.csv,289904,4,1,0,76900,34802,29978,0,0,148224,148224
america,Maine_06122018_DemocraticPrimaryforCD2.csv,45305,4,1,0,15534,8566,9129,0,0,12076,12076
america,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,2520,3,1,1818,312,390,0,0,0,0,390
america,Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,52673,3,1,28287,5574,18812,0,0,0,0,18812
america,Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,5283,3,1,3824,512,947,0,0,0,0,947
america,Maine_06122018_DemocraticPrimaryforGovernor.csv,126247,8,1,2273,38884,5121,6461,1,0,73508,15984
america,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,2170,3,1,1493,265,412,0,0,0,0,412
america,TakomaPark_11082022_Mayor.csv,5712,4,1,104,3002,1475,1131,1,0,0,1131
america,TakomaPark_11082022_CityCouncilWard4.csv,576,2,1,29,547,0,0,1,0,0,547
america,TakomaPark_11082022_CityCouncilWard5.csv,487,3,1,2,256,90,139,1,0,0,139
america,TakomaPark_11082022_CityCouncilWard6.csv,652,5,1,10,271,64,132,1,0,175,175
america,TakomaPark_11082022_CityCouncilWard2.csv,1072,2,1,45,1027,0,0,1,0,0,1027
america,TakomaPark_11082022_CityCouncilWard3.csv,1373,4,1,9,721,355,288,1,0,0,288
america,TakomaPark_11082022_CityCouncilWard1.csv,1364,4,1,14,626,327,397,1,0,0,397
america,Bloomington_11072023_SpecialCityCouncilAtLarge.csv,19345,3,1,2371,3803,13171,0,0,0,0,13171
america,Bloomington_11072023_CityCouncilDistrict4.csv,3092,3,1,396,473,2223,0,0,0,0,2223
america,Springville_11022021_Mayor.csv,6114,3,1,4381,256,1477,0,0,0,0,1477
america,WoodlandHills_11022021_CityCouncil.csv,645,4,2,391,80,106,68,0,0,0,68
america,Springville_11022021_CityCouncil4yr.csv,6039,7,2,4267,195,150,253,0,0,1174,279
america,WoodlandHills_11022021_Mayor.csv,655,3,1,393,134,128,0,0,0,0,128
america,Vineyard_11022021_CityCouncil.csv,1519,5,2,785,464,168,102,1,0,0,102
america,Genola_11022021_CityCouncil.csv,378,3,2,0,314,32,32,0,0,0,32
america,Vineyard_11052019_CityCouncil.csv,1089,7,2,637,70,37,90,0,0,255,64
america,Moab_11022021_CityCouncil.csv,1810,6,2,99,768,92,229,0,0,622,145
america,Payson_11052019_CityCouncil.csv,2675,5,3.0,1924,91,353,161,0,0,146,146
america,ElkRidge_11022021_Mayor.csv,1309,3,1,967,162,180,0,0,0,0,180
america,Lehi_11022021_CityCouncil.csv,10916,9,2,7058,394,156,246,0,0,3062,261
america,Vineyard_11022021_Mayor.csv,1536,3,1,1152,68,316,0,0,0,0,316
america,Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,10780,5,1,4412,3168,3200,0,0,1,0,3200
america,Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,10158,5,1,4213,2975,2970,0,0,1,0,2970
america,Minnetonka_11072023_CityCouncilWard4.csv,3286,4,1,1111,666,1509,0,1,0,0,1509
america,Minnetonka_11072023_CityCouncilWard1.csv,3029,5,1,1143,730,1156,0,1,1,0,1156
america,Minnetonka_11072023_CityCouncilWard3.csv,3363,4,1,1132,1076,1155,0,1,0,0,1155
