voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
73,Janis MCDONALD Scottish Labour Party,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
74,Janis MCDONALD Scottish Labour Party,Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),John MCINTYRE Independent,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Samuel Oludare YEROKUN Alba Party for independence,Mark BAILEY Scottish Liberal Democrats,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,4
75,Cara RAE Scottish Green Party,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Mark BAILEY Scottish Liberal Democrats,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
76,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Samuel Oludare YEROKUN Alba Party for independence,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Mark BAILEY Scottish Liberal Democrats,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,John MCINTYRE Independent,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fraser PAUL Scottish Conservative and Unionist,skipped,4
77,Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,John MCINTYRE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
78,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Janis MCDONALD Scottish Labour Party,John MCINTYRE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
79,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Fraser PAUL Scottish Conservative and Unionist,Cara RAE Scottish Green Party,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Mark BAILEY Scottish Liberal Democrats,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,John MCINTYRE Independent,skipped,skipped,4
80,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Mark BAILEY Scottish Liberal Democrats,Fraser PAUL Scottish Conservative and Unionist,Janis MCDONALD Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
81,Cara RAE Scottish Green Party,John MCINTYRE Independent,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
82,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,KENNY MACLAREN Scottish National Party (SNP),John MCINTYRE Independent,Fraser PAUL Scottish Conservative and Unionist,Cara RAE Scottish Green Party,Samuel Oludare YEROKUN Alba Party for independence,skipped,skipped,4
83,MAGS MACLAREN Scottish National Party (SNP),Ben SMITH Scottish Labour Party,KENNY MACLAREN Scottish National Party (SNP),Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
84,Cara RAE Scottish Green Party,Fraser PAUL Scottish Conservative and Unionist,Janis MCDONALD Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
85,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,John MCINTYRE Independent,Mark BAILEY Scottish Liberal Democrats,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,4
86,KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,Samuel Oludare YEROKUN Alba Party for independence,Janis MCDONALD Scottish Labour Party,John MCINTYRE Independent,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Fraser PAUL Scottish Conservative and Unionist,skipped,skipped,4
87,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
88,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
89,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
90,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
91,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
92,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
93,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,Cara RAE Scottish Green Party,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,4
