,file,smith_plurality,smith_irv,smith-minimax
179,Minneapolis/Minneapolis_11072017_PRBoardDistrict4.csv,['Jono Cowgill'],['Jono Cowgill'],['Jono Cowgill']
180,Minneapolis/Minneapolis_11062009_MinneapolisParkRecBoard.csv,['Annie Young'],['Annie Young'],['Annie Young']
181,Minneapolis/Minneapolis_11072017_Ward13CityCouncil.csv,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano']
182,Minneapolis/Minneapolis_11022021_CityCouncilWard8.csv,['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins']
183,Minneapolis/Minneapolis_11062009_Ward6CityCouncil.csv,['Robert Lilligren'],['Robert Lilligren'],['Robert Lilligren']
184,Minneapolis/Minneapolis_11072017_PRBoardDistrict6.csv,['Brad Bourn'],['Brad Bourn'],['Brad Bourn']
185,Minneapolis/Minneapolis_11022021_CityCouncilWard9.csv,['Jason Chavez'],['Jason Chavez'],['Jason Chavez']
186,Minneapolis/Minneapolis_11052013_Ward13CityCouncil.csv,['LINEA PALMISANO'],['LINEA PALMISANO'],['LINEA PALMISANO']
187,Minneapolis/Minneapolis_11062009_Ward4CityCouncil.csv,['Barbara A. Johnson'],['Barbara A. Johnson'],['Barbara A. Johnson']
188,Minneapolis/Minneapolis_11052013_Ward5CityCouncil.csv,['BLONG YANG'],['BLONG YANG'],['BLONG YANG']
189,Minneapolis/Minneapolis_11022021_ParkBoardDistrict3.csv,['Becky Alper'],['Becky Alper'],['Becky Alper']
190,Minneapolis/Minneapolis_11062009_Ward3CityCouncil.csv,['Diane Hofstede'],['Diane Hofstede'],['Diane Hofstede']
191,Minneapolis/Minneapolis_11022021_ParkBoardDistrict1.csv,['Billy Menz'],['Billy Menz'],['Billy Menz']
192,Minneapolis/Minneapolis 2013-board of estimation and taxation cvr.csv,['CAROL J. BECKER'],['CAROL J. BECKER'],['CAROL J. BECKER']
193,Minneapolis/Minneapolis_11072017_Ward11CityCouncil.csv,['Jeremy Schroeder'],['Jeremy Schroeder'],['Jeremy Schroeder']
194,Minneapolis/Minneapolis_11072017_Ward10CityCouncil.csv,['Lisa Bender'],['Lisa Bender'],['Lisa Bender']
195,Minneapolis/Minneapolis_11022021_ParkBoardDistrict4.csv,['Elizabeth Shaffer'],['Elizabeth Shaffer'],['Elizabeth Shaffer']
196,Minneapolis/Minneapolis_11062009_Ward2CityCouncil.csv,['Cam Gordon'],['Cam Gordon'],['Cam Gordon']
197,Minneapolis/Minneapolis_11022021_ParkBoardDistrict5.csv,['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich']
198,Minneapolis/Minneapolis_11062009_Ward5CityCouncil.csv,['Don Samuels'],['Don Samuels'],['Don Samuels']
199,Minneapolis/Minneapolis_11022021_ParkBoardDistrict6.csv,['Cathy Abene'],['Cathy Abene'],['Cathy Abene']
200,"Pierce County, WA/PierceCounty_11042008_CountyExecutiveMember.csv",['Pat McCarthy'],['Pat McCarthy'],['Pat McCarthy']
201,"Pierce County, WA/PierceCounty_11032009_CountyAuditor.csv",['Julie Anderson'],['Julie Anderson'],['Julie Anderson']
