file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
american/Alaska/Alaska_11082022_HouseDistrict34.csv,none,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H."
american/Alaska/Alaska_11082022_HouseDistrict34.csv,"Hopkins, Grier H.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J."
american/Alaska/Alaska_11082022_HouseDistrict34.csv,"Tomaszewski, Frank J.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H."
american/Alaska/Alaska_11082022_HouseDistrict34.csv,"DeMars, Nate","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,none,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,"Harary, Jordan I.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,"Kohlhaas, Scott A.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,"Bauer, Paul A.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,"Gray, Andrew T.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A.","Bauer, Paul A."
american/Alaska/Alaska_11082022_HouseDistrict21.csv,none,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C."
