voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
113,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
114,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
115,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
116,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
117,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
118,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
119,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
120,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,Bridget MUSTARD Scottish Conservative and Unionist,skipped,skipped,skipped,4
121,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,Bridget MUSTARD Scottish Conservative and Unionist,skipped,skipped,skipped,4
122,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,John COWE Independent,skipped,4
123,James ALLAN Scottish Conservative and Unionist,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Bridget MUSTARD Scottish Conservative and Unionist,Andrew O'NEILL Scottish Labour Party,4
124,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
125,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,James ALLAN Scottish Conservative and Unionist,skipped,4
126,James ALLAN Scottish Conservative and Unionist,NEIL CAMERON Scottish National Party (SNP),Bridget MUSTARD Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,4
127,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),John COWE Independent,skipped,skipped,skipped,4
128,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),John COWE Independent,skipped,skipped,skipped,4
129,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),John COWE Independent,skipped,skipped,skipped,4
130,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),John COWE Independent,skipped,skipped,skipped,4
131,John COWE Independent,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
132,John COWE Independent,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
133,John COWE Independent,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
134,John COWE Independent,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
135,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,4
136,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,4
137,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,4
138,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,4
