voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
902,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Alan NIMMO Scottish Labour Party,skipped,skipped,skipped,skipped,3
903,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Alan NIMMO Scottish Labour Party,skipped,skipped,skipped,skipped,3
904,Alan NIMMO Scottish Labour Party,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Marc BOZZA Independent,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,skipped,skipped,3
905,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,Marc BOZZA Independent,Stuart MARTIN UKIP,skipped,skipped,skipped,3
906,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,Marc BOZZA Independent,Stuart MARTIN UKIP,skipped,skipped,skipped,3
907,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Marc BOZZA Independent,John HASTON Scottish National Party (SNP),Stuart MARTIN UKIP,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,Alan NIMMO Scottish Labour Party,3
908,Alan NIMMO Scottish Labour Party,Stuart MARTIN UKIP,Rhys STENHOUSE Scottish Green Party,Marc BOZZA Independent,Robert SPEARS Independent,Mandy BRYSON Scottish Conservative and Unionist,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),3
909,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,John HASTON Scottish National Party (SNP),Marc BOZZA Independent,Stuart MARTIN UKIP,Robert SPEARS Independent,Alan NIMMO Scottish Labour Party,Rhys STENHOUSE Scottish Green Party,3
910,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Robert SPEARS Independent,Alan NIMMO Scottish Labour Party,Marc BOZZA Independent,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,Stuart MARTIN UKIP,3
911,Stuart MARTIN UKIP,Mandy BRYSON Scottish Conservative and Unionist,Marc BOZZA Independent,Alan NIMMO Scottish Labour Party,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),3
912,Marc BOZZA Independent,David BALFOUR Scottish National Party (SNP),Alan NIMMO Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
913,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
914,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
915,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
916,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
917,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
918,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,Marc BOZZA Independent,Stuart MARTIN UKIP,Robert SPEARS Independent,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,3
919,Alan NIMMO Scottish Labour Party,David BALFOUR Scottish National Party (SNP),Marc BOZZA Independent,John HASTON Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
920,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
921,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
922,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
923,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
924,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
925,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
926,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
927,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
928,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
